uniname,zipcode,address,latitude,longitude,distance
금강대학교,32906,충청남도 논산시 상월면 상월로 522 ,36.3058031,127.1955110,139.43443036529902
금오공과대학교,39177,경상북도 구미시 대학로 61 ,36.1463163,128.3934519,200.0268221218211
김천대학교,39528,경상북도 김천시 대학로 214 ,36.1395578,128.0805228,184.47275470324686
나사렛대학교,31172,충청남도 천안시 서북구 월봉로 48 ,36.7962396,127.1195830,84.59095059122144
남부대학교,62271,광주광역시 광산구 남부대길 1 ,35.2070609,126.8422582,260.4459443434781
남서울대학교,31020,충청남도 천안시 서북구 성환읍 대학로 91 ,36.9095318,127.1447235,72.55173620081385
단국대학교,16890,경기도 용인시 수지구 죽전로 152 ,37.3207278,127.1276811,28.39782871478892
단국대학교,31116,충청남도 천안시 동남구 단대로 119 ,36.8373833,127.1685007,80.81756635269575
대구가톨릭대학교,38430,경상북도 경산시 하양읍 하양로 13-13 ,35.9108879,128.8077811,244.01647754840494
대구경북과학기술원,42988,대구광역시 달성군 현풍면 테크노중앙대로 333 ,35.7046798,128.4570131,243.39517492786828
대구교육대학교,42411,대구광역시 남구 중앙대로 219 ,35.8530252,128.5889174,236.57213184422864
대구대학교,38453,경상북도 경산시 진량읍 대구대로 201 ,35.9010490,128.8491000,247.30383208938073
대구예술대학교,39851,경상북도 칠곡군 가산면 다부거문1길 202 ,36.0333405,128.5104925,216.39857680145283
대구한의대학교,38609,경상북도 경산시 한의대로 1 ,35.7950097,128.7754765,251.98869878272473
대구한의대학교,38610,경상북도 경산시 한의대로 1,35.7950097,128.7754765,251.98869878272473
대신대학교,38649,경상북도 경산시 경청로222길 33 ,35.8038667,128.7441875,249.45502158104028
대전가톨릭대학교,30006,세종특별자치시 전의면 가톨릭대학로 30 ,36.6549910,127.1967813,101.170398846064
대전대학교,34520,대전광역시 동구 대학로 62 ,36.3343597,127.4606466,141.44194477646658
대전신학대학교,34432,대전광역시 대덕구 한남로 41 ,36.3495481,127.4240159,138.88568728136642
대진대학교,11159,경기도 포천시 호국로 1007 ,37.8734346,127.1573986,38.75430479030884
덕성여자대학교,1369,서울특별시 도봉구 삼양로144길 33 ,37.6515354,127.0166028,11.417906345199896
동국대학교,4620,서울특별시 중구 필동로1길 30 ,37.5582582,127.0001869,1.3175279299159077
동국대학교,10326,경기 고양시 일산동구 동국로 32,37.6787900,126.8062040,21.422027570193322
동국대학교,38066,경상북도 경주시 동대로 123,35.8636659,129.1946221,271.89224789456273
동덕여자대학교,2748,서울특별시 성북구 화랑로13길 60 ,37.6068369,127.0419803,7.792222703379657
동명대학교,48520,부산광역시 남구 신선로 428 ,35.1220654,129.1016625,329.60826674682016
