uniname,zipcode,branch,branchdtl,school,schooldtl,address
인천가톨릭대학교,23058,본교,본교(제1캠퍼스),4년제,대학교,인천광역시 강화군 양도면 고려왕릉로 53-1 
인천가톨릭대학교,21987,캠퍼스,본교(제2캠퍼스),4년제,대학교,인천광역시 연수구 송도문화로120번길 20 
인천대학교,22012,본교,본교(제1캠퍼스),4년제,대학교,인천광역시 연수구 아카데미로 119 
인하대학교,22212,본교,본교(제1캠퍼스),4년제,대학교,인천광역시 미추홀구 인하로 100
장로회신학대학교,4965,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 광진구 광장로5길 25-1 
전남대학교,61186,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 북구 용봉로 45 
전남대학교,59626,캠퍼스,본교(제2캠퍼스),4년제,대학교,전라남도 여수시 대학로 50 
전북대학교,54596,캠퍼스,본교(제2캠퍼스),4년제,대학교,전북 익산시 고봉로 79
전북대학교,54896,본교,본교(제1캠퍼스),4년제,대학교,전라북도 전주시 덕진구 백제대로 567 
전주교육대학교,55101,본교,본교(제1캠퍼스),교육대,교육대학,전라북도 전주시 완산구 서학로 50 
전주대학교,55069,본교,본교(제1캠퍼스),4년제,대학교,전라북도 전주시 완산구 천잠로 303 
제주국제대학교,63309,본교,본교(제1캠퍼스),4년제,대학교,제주특별자치도 제주시 516로 2870 
제주대학교,63243,본교,본교(제1캠퍼스),4년제,대학교,제주특별자치도 제주시 제주대학로 102 
조선대학교,61452,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 동구 조선대길 146
중부대학교,32713,본교,본교(제1캠퍼스),4년제,대학교,충청남도 금산군 추부면 대학로 201 
중앙대학교,6974,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동작구 흑석로 84 
중앙대학교,17546,캠퍼스,본교(제2캠퍼스),4년제,대학교,경기도 안성시 대덕면 서동대로 4726 
중앙승가대학교,10118,본교,본교(제1캠퍼스),4년제,대학교,경기도 김포시 승가로 147 
중원대학교,28024,본교,본교(제1캠퍼스),4년제,대학교,충청북도 괴산군 괴산읍 문무로 85 
진주교육대학교,52673,본교,본교(제1캠퍼스),교육대,교육대학,경상남도 진주시 진양호로369번길 3 
차의과학대학교,11160,본교,본교(제1캠퍼스),4년제,대학교,경기도 포천시 해룡로 120 
창신대학교,51352,본교,본교(제1캠퍼스),4년제,대학교,경상남도 창원시 마산회원구 팔용로 262 
창원대학교,51140,본교,본교(제1캠퍼스),4년제,대학교,경상남도 창원시 의창구 창원대학로 20 
청주교육대학교,28690,본교,본교(제1캠퍼스),교육대,교육대학,충청북도 청주시 서원구 청남로 2065 
청주대학교,27739,캠퍼스,본교(제2캠퍼스),4년제,대학교,충청북도 음성군 맹동면 두성리 1040-2
청주대학교,28503,본교,본교(제1캠퍼스),4년제,대학교,충청북도 청주시 청원구 대성로 298 
초당대학교,58530,본교,본교(제1캠퍼스),4년제,대학교,전라남도 무안군 무안읍 무안로 380 
총신대학교,6988,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동작구 사당로 143 
추계예술대학교,3762,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 서대문구 북아현로11가길 7 
춘천교육대학교,24328,본교,본교(제1캠퍼스),교육대,교육대학,강원특별자치도 춘천시 공지로 126 
충남대학교,34134,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 유성구 대학로 99 
충북대학교,28644,본교,본교(제1캠퍼스),4년제,대학교,충청북도 청주시 서원구 충대로 1 
칼빈대학교,16911,본교,본교(제1캠퍼스),4년제,대학교,경기도 용인시 기흥구 마북로 184 
평택대학교,17869,본교,본교(제1캠퍼스),4년제,대학교,경기도 평택시 서동대로 3825 
포항공과대학교,37673,본교,본교(제1캠퍼스),4년제,대학교,경상북도 포항시 남구 청암로 77 
한국과학기술원,34141,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 유성구 대학로 291 
한국과학기술원,38610,캠퍼스,본교(제2캠퍼스),4년제,대학교,서울 동대문구 회기로 85
한국교원대학교,28173,본교,본교(제1캠퍼스),4년제,대학교,충청북도 청주시 흥덕구 강내면 태성탑연로 250 
한국교통대학교,27909,캠퍼스,본교(제2캠퍼스),4년제,대학교,충북 증평군 증평읍 대학로 61
한국교통대학교,27469,본교,본교(제1캠퍼스),4년제,대학교,충청북도 충주시 대소원면 대학로 50 
한국기술교육대학교,31253,본교,본교(제1캠퍼스),4년제,대학교,충청남도 천안시 동남구 병천면 충절로 1600 
한국성서대학교,1757,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 노원구 동일로214길 32 
한국외국어대학교,2450,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 동대문구 이문로 107 
한국외국어대학교,17035,캠퍼스,본교(제2캠퍼스),4년제,대학교,경기 용인시 처인구 모현읍 외대로 81
한국전통문화대학교,33115,본교,본교(제1캠퍼스),4년제,대학교,충청남도 부여군 규암면 백제문로 367 
한국체육대학교,5541,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 송파구 양재대로 1239 
한국침례신학대학교,34098,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 유성구 북유성대로 190 
한국항공대학교,10540,본교,본교(제1캠퍼스),4년제,대학교,경기도 고양시 덕양구 항공대학로 76 
한국해양대학교,49112,본교,본교(제1캠퍼스),4년제,대학교,부산광역시 영도구 태종로 727 
한남대학교,34054,캠퍼스,본교(제2캠퍼스),4년제,대학교,대전 유성구 유성대로 1646
한남대학교,34430,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 대덕구 한남로 70 
한동대학교,37554,본교,본교(제1캠퍼스),4년제,대학교,경상북도 포항시 북구 흥해읍 한동로 558 
한라대학교,26404,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 원주시 흥업면 한라대길 28 
한림대학교,24252,본교,본교(제1캠퍼스),4년제,대학교,강원특별자치도 춘천시 한림대학길 1 
한밭대학교,34158,본교,본교(제1캠퍼스),4년제,대학교,대전광역시 유성구 동서대로 125 
한서대학교,31962,본교,본교(제1캠퍼스),4년제,대학교,충청남도 서산시 해미면 한서1로 46 
한서대학교,32158,캠퍼스,본교(제2캠퍼스),4년제,대학교,충남 태안군 남면 곰섬로 236-49
한성대학교,2876,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 성북구 삼선교로16길 116 
한세대학교,15852,본교,본교(제1캠퍼스),4년제,대학교,경기도 군포시 한세로 30 
