Jrank	uniname	source	mydate
1	포항공과대학교	중앙일보	2014.10.6
2	한국과학기술원	중앙일보	2014.10.6
3	성균관대학교	중앙일보	2014.10.6
4	고려대	중앙일보	2014.10.6
5	서울대학교	중앙일보	2014.10.6
6	연세대	중앙일보	2014.10.6
7	한양대	중앙일보	2014.10.6
8	중앙대	중앙일보	2014.10.6
9	서강대학교	중앙일보	2014.10.6
9	경희대학교	중앙일보	2014.10.6
11	동국대	중앙일보	2014.10.6
12	이화여자대학교	중앙일보	2014.10.6
13	건국대	중앙일보	2014.10.6
14	인하대학교	중앙일보	2014.10.6
14	서울시립대학교	중앙일보	2014.10.6
16	아주대학교	중앙일보	2014.10.6
17	한양대	중앙일보	2014.10.6
18	부산대학교	중앙일보	2014.10.6
19	한국외대학교	중앙일보	2014.10.6
20	서울과학기술대학교	중앙일보	2014.10.6
21	경북대학교	중앙일보	2014.10.6
22	전북대학교	중앙일보	2014.10.6
23	국민대학교	중앙일보	2014.10.6
24	한국기술교육대학교	중앙일보	2014.10.6
25	전남대학교	중앙일보	2014.10.6
26	가톨릭대학교	중앙일보	2014.10.6
27	충남대학교	중앙일보	2014.10.6
28	세종대학교	중앙일보	2014.10.6
29	영남대학교	중앙일보	2014.10.6
30	숭실대학교	중앙일보	2014.10.6
1	서울대학교	중앙일보	2015.10.20
2	성균관대학교	중앙일보	2015.10.20
3	한양대	중앙일보	2015.10.20
4	연세대	중앙일보	2015.10.20
5	고려대	중앙일보	2015.10.20
6	서강대학교	중앙일보	2015.10.20
7	이화여자대학교	중앙일보	2015.10.20
8	중앙대학교	중앙일보	2015.10.20
8	한양대	중앙일보	2015.10.20
10	서울시립대학교	중앙일보	2015.10.20
11	경희대학교	중앙일보	2015.10.20
12	부산대학교	중앙일보	2015.10.20
13	인하대학교	중앙일보	2015.10.20
14	한국외대학교	중앙일보	2015.10.20
15	경북대학교	중앙일보	2015.10.20
16	아주대학교	중앙일보	2015.10.20
16	전북대학교	중앙일보	2015.10.20
18	충남대학교	중앙일보	2015.10.20
19	동국대	중앙일보	2015.10.20
20	전남대학교	중앙일보	2015.10.20
21	건국대	중앙일보	2015.10.20
22	충북대학교	중앙일보	2015.10.20
23	서울과학기술대학교	중앙일보	2015.10.20
24	한국해양대학교	중앙일보	2015.10.20
25	영남대학교	중앙일보	2015.10.20
26	울산대학교	중앙일보	2015.10.20
27	가톨릭대학교	중앙일보	2015.10.20
27	국민대학교	중앙일보	2015.10.20
29	제주대학교	중앙일보	2015.10.20
29	홍익대학교	중앙일보	2015.10.20
