unicode,uniname,branch,address,latitude,longitude,distance
0000169,인하대학교,본교,인천광역시 미추홀구 인하로 100,37.4507292,126.6538126,31.601775994212176
0000170,장로회신학대학교,본교,서울특별시 광진구 광장로5길 25-1,37.5498569,127.1032818,10.167956723632834
0000171,전주대학교,본교,전라북도 전주시 완산구 천잠로 303,35.8141581,127.0901464,192.97419436394526
0000172,조선대학교,본교,광주광역시 동구 조선대길 146,35.1427410,126.9347238,267.2955420104735
0000173,중부대학교,본교,충청남도 금산군 추부면 대학로 201,36.1929411,127.4501711,156.25495273434478
0000174,중앙대학교,제2캠퍼스,경기도 안성시 대덕면 서동대로 4726,37.0051163,127.2301841,64.28927709794941
0000175,중앙대학교,본교,서울특별시 동작구 흑석로 84,37.5048875,126.9573779,5.815579461346009
0000177,중앙승가대학교,본교,경기도 김포시 승가로 147,37.6090745,126.7064390,25.70690120671665
0000178,백석대학교,본교,충청남도 천안시 동남구 백석대학로 1,36.8388372,127.1825206,80.91557677397492
0000179,청주대학교,본교,충청북도 청주시 청원구 대성로 298,36.6531853,127.4957084,109.39191948897889
0000180,총신대학교,본교,서울특별시 동작구 사당로 143,37.4892845,126.9669811,7.120565755801554
0000181,추계예술대학교,본교,서울특별시 서대문구 북아현로11가길 7,37.5630397,126.9536152,3.3299554925325707
0000182,한국침례신학대학교,본교,대전광역시 유성구 북유성대로 190,36.3857325,127.3262805,132.79344917020896
0000184,칼빈대학교,본교,경기도 용인시 기흥구 마북로 184,37.3047175,127.1278667,30.015363331951214
0000186,평택대학교,본교,경기도 평택시 서동대로 3825,36.9952846,127.1334625,63.02398201716833
0000187,차의과학대학교,본교,경기도 포천시 해룡로 120,37.8579006,127.1377673,36.50915389785291
0000188,포항공과대학교,본교,경상북도 포항시 남구 청암로 77,36.0105883,129.3213012,269.43246017101904
0000189,한국기술교육대학교,본교,충청남도 천안시 동남구 병천면 충절로 1600,36.7637515,127.2819829,91.20046598878331
0000191,한국성서대학교,본교,서울특별시 노원구 동일로214길 32,37.6487780,127.0643529,12.749777633077242
0000192,한국외국어대학교,본교,서울특별시 동대문구 이문로 107,37.5973078,127.0582878,8.032887914911196
0000194,한국항공대학교,본교,경기도 고양시 덕양구 항공대학로 76,37.5997399,126.8644887,12.187644873536236
0000195,한남대학교,본교,대전광역시 대덕구 한남로 70,36.3541173,127.4217991,138.34337859793706
0000196,한동대학교,본교,경상북도 포항시 북구 흥해읍 한동로 558,36.1036575,129.3881109,267.64494173065845
0000197,한라대학교,본교,강원특별자치도 원주시 흥업면 한라대길 28,37.3029920,127.9074880,85.90032531494869
0000198,한림대학교,본교,강원특별자치도 춘천시 한림대학길 1,37.8872151,127.7382499,75.9199689711261
0000199,한서대학교,본교,충청남도 서산시 해미면 한서1로 46,36.6906314,126.5835864,102.04805383383288
0000200,한성대학교,본교,서울특별시 성북구 삼선교로16길 116,37.5825084,127.0102929,3.98734976914678
0000201,한세대학교,본교,경기도 군포시 한세로 30,37.3465782,126.9528801,22.92112613332486
0000202,한신대학교,본교,경기도 오산시 한신대길 137,37.1939449,127.0234105,39.768679856575275
0000203,한양대학교,본교,서울특별시 성동구 왕십리로 222,37.5575753,127.0466899,5.21455962272363
0000204,한양대학교(ERICA),분교,경기도 안산시 상록구 한양대학로 55,37.2954261,126.8353162,31.445743984995502
0000205,서울한영대학교,본교,서울특별시 구로구 경인로 290-42,37.4964113,126.8515463,13.524604120401142
0000206,한일장신대학교,본교,전라북도 완주군 상관면 왜목로 726-15,35.7637500,127.2063750,199.3085884362259
0000207,협성대학교,본교,경기도 화성시 봉담읍 최루백로 72,37.2132877,126.9526872,37.63155807001825
0000208,호남대학교,본교,광주광역시 광산구 호남대길 120,35.1499741,126.7650485,267.20169296630564
