jrank, uniname,            sourcename, sourcedate, year
19,    가톨릭대학교,       중앙일보,   09/27/2007, 2007
19,    홍익대학교,         중앙일보,   09/27/2007, 2007
19,    전남대학교,         중앙일보,   09/27/2007, 2007
23,    울산대학교,         중앙일보,   09/27/2007, 2007
24,    충남대학교,         중앙일보,   09/27/2007, 2007
24,    한국기술교육대학교, 중앙일보,   09/27/2007, 2007
24,    숙명여자대학교,     중앙일보,   09/27/2007, 2007
24,    한림대학교,         중앙일보,   09/27/2007, 2007
28,    인제대학교,         중앙일보,   09/27/2007, 2007
28,    동국대학교,         중앙일보,   09/27/2007, 2007
28,    한국항공대학교,     중앙일보,   09/27/2007, 2007
1,     한국과학기술원,     중앙일보,   09/29/2008, 2008
2,     포항공과대학교,     중앙일보,   09/29/2008, 2008
3,     서울대학교,         중앙일보,   09/29/2008, 2008
4,     연세대학교,         중앙일보,   09/29/2008, 2008
5,     고려대학교,         중앙일보,   09/29/2008, 2008
6,     성균관대학교,       중앙일보,   09/29/2008, 2008
7,     한양대학교,         중앙일보,   09/29/2008, 2008
8,     서강대학교,         중앙일보,   09/29/2008, 2008
9,     이화여자대학교,     중앙일보,   09/29/2008, 2008
10,    경희대학교,         중앙일보,   09/29/2008, 2008
11,    인하대학교,         중앙일보,   09/29/2008, 2008
11,    한국외국어대학교,   중앙일보,   09/29/2008, 2008
13,    부산대학교,         중앙일보,   09/29/2008, 2008
14,    중앙대학교,         중앙일보,   09/29/2008, 2008
15,    아주대학교,         중앙일보,   09/29/2008, 2008
16,    건국대학교,         중앙일보,   09/29/2008, 2008
17,    경북대학교,         중앙일보,   09/29/2008, 2008
18,    서울시립대학교,     중앙일보,   09/29/2008, 2008
19,    가톨릭대학교,       중앙일보,   09/29/2008, 2008
19,    홍익대학교,         중앙일보,   09/29/2008, 2008
21,    한동대학교,         중앙일보,   09/29/2008, 2008
22,    울산대학교,         중앙일보,   09/29/2008, 2008
22,    전남대학교,         중앙일보,   09/29/2008, 2008
24,    영남대학교,         중앙일보,   09/29/2008, 2008
24,    순천향대학교,       중앙일보,   09/29/2008, 2008
26,    한림대학교,         중앙일보,   09/29/2008, 2008
27,    한국기술교육대학교, 중앙일보,   09/29/2008, 2008
27,    숙명여자대학교,     중앙일보,   09/29/2008, 2008
29,    동국대학교,         중앙일보,   09/29/2008, 2008
29,    충남대학교,         중앙일보,   09/29/2008, 2008
1,     한국과학기술원,     중앙일보,   09/23/2009, 2009
2,     서울대학교,         중앙일보,   09/23/2009, 2009
3,     포항공과대학교,     중앙일보,   09/23/2009, 2009
4,     고려대학교,         중앙일보,   09/23/2009, 2009
5,     연세대학교,         중앙일보,   09/23/2009, 2009
6,     성균관대학교,       중앙일보,   09/23/2009, 2009
7,     한양대학교,         중앙일보,   09/23/2009, 2009
8,     경희대학교,         중앙일보,   09/23/2009, 2009
9,     서강대학교,         중앙일보,   09/23/2009, 2009
10,    한국외국어대학교,   중앙일보,   09/23/2009, 2009
11,    인하대학교,         중앙일보,   09/23/2009, 2009
12,    이화여자대학교,     중앙일보,   09/23/2009, 2009
13,    중앙대학교,         중앙일보,   09/23/2009, 2009
14,    건국대학교,         중앙일보,   09/23/2009, 2009
15,    부산대학교,         중앙일보,   09/23/2009, 2009
16,    경북대학교,         중앙일보,   09/23/2009, 2009
17,    서울시립대학교,     중앙일보,   09/23/2009, 2009
18,    아주대학교,         중앙일보,   09/23/2009, 2009
19,    홍익대학교,         중앙일보,   09/23/2009, 2009
20,    전남대학교,         중앙일보,   09/23/2009, 2009
21,    한동대학교,         중앙일보,   09/23/2009, 2009
22,    가톨릭대학교,       중앙일보,   09/23/2009, 2009
23,    울산대학교,         중앙일보,   09/23/2009, 2009
24,    한국기술교육대학교, 중앙일보,   09/23/2009, 2009
25,    충남대학교,         중앙일보,   09/23/2009, 2009
25,    한국해양대학교,     중앙일보,   09/23/2009, 2009
27,    한림대학교,         중앙일보,   09/23/2009, 2009
28,    동국대학교,         중앙일보,   09/23/2009, 2009
29,    영남대학교,         중앙일보,   09/23/2009, 2009
30,    강원대학교,         중앙일보,   09/23/2009, 2009
1,     한국과학기술원,     중앙일보,   09/27/2010, 2010
2,     포항공과대학교,     중앙일보,   09/27/2010, 2010
3,     서울대학교,         중앙일보,   09/27/2010, 2010
4,     연세대학교,         중앙일보,   09/27/2010, 2010
5,     고려대학교,         중앙일보,   09/27/2010, 2010
6,     성균관대학교,       중앙일보,   09/27/2010, 2010
7,     경희대학교,         중앙일보,   09/27/2010, 2010
8,     서강대학교,         중앙일보,   09/27/2010, 2010
9,     한양대학교,         중앙일보,   09/27/2010, 2010
10,    이화여자대학교,     중앙일보,   09/27/2010, 2010
10,    인하대학교,         중앙일보,   09/27/2010, 2010
12,    중앙대학교,         중앙일보,   09/27/2010, 2010
13,    아주대학교,         중앙일보,   09/27/2010, 2010
14,    건국대학교,         중앙일보,   09/27/2010, 2010
15,    한국외국어대학교,   중앙일보,   09/27/2010, 2010
16,    서울시립대학교,     중앙일보,   09/27/2010, 2010
17,    동국대학교,         중앙일보,   09/27/2010, 2010
18,    경북대학교,         중앙일보,   09/27/2010, 2010
19,    숙명여자대학교,     중앙일보,   09/27/2010, 2010
20,    부산대학교,         중앙일보,   09/27/2010, 2010
21,    가톨릭대학교,       중앙일보,   09/27/2010, 2010
22,    전북대학교,         중앙일보,   09/27/2010, 2010
22,    충남대학교,         중앙일보,   09/27/2010, 2010
24,    영남대학교,         중앙일보,   09/27/2010, 2010
24,    전남대학교,         중앙일보,   09/27/2010, 2010
26,    울산대학교,         중앙일보,   09/27/2010, 2010
27,    홍익대학교,         중앙일보,   09/27/2010, 2010
28,    충북대학교,         중앙일보,   09/27/2010, 2010
29,    한국기술교육대학교, 중앙일보,   09/27/2010, 2010
30,    한동대학교,         중앙일보,   09/27/2010, 2010
1,     한국과학기술원,     중앙일보,   09/26/2011, 2011
2,     포항공과대학교,     중앙일보,   09/26/2011, 2011
3,     서울대학교,         중앙일보,   09/26/2011, 2011
4,     연세대학교,         중앙일보,   09/26/2011, 2011
5,     성균관대학교,       중앙일보,   09/26/2011, 2011
5,     고려대학교,         중앙일보,   09/26/2011, 2011
7,     경희대학교,         중앙일보,   09/26/2011, 2011
8,     한양대학교,         중앙일보,   09/26/2011, 2011
9,     서강대학교,         중앙일보,   09/26/2011, 2011
10,    중앙대학교,         중앙일보,   09/26/2011, 2011
11,    인하대학교,         중앙일보,   09/26/2011, 2011
12,    이화여자대학교,     중앙일보,   09/26/2011, 2011
13,    아주대학교,         중앙일보,   09/26/2011, 2011
14,    동국대학교,         중앙일보,   09/26/2011, 2011
14,    서울시립대학교,     중앙일보,   09/26/2011, 2011
16,    한국외국어대학교,   중앙일보,   09/26/2011, 2011
17,    건국대학교,         중앙일보,   09/26/2011, 2011
18,    숙명여자대학교,     중앙일보,   09/26/2011, 2011
19,    경북대학교,         중앙일보,   09/26/2011, 2011
19,    전남대학교,         중앙일보,   09/26/2011, 2011
21,    전북대학교,         중앙일보,   09/26/2011, 2011
22,    숭실대학교,         중앙일보,   09/26/2011, 2011
23,    가톨릭대학교,       중앙일보,   09/26/2011, 2011
23,    부산대학교,         중앙일보,   09/26/2011, 2011
23,    충남대학교,         중앙일보,   09/26/2011, 2011
26,    영남대학교,         중앙일보,   09/26/2011, 2011
27,    한국기술교육대학교, 중앙일보,   09/26/2011, 2011
28,    광운대학교,         중앙일보,   09/26/2011, 2011
29,    충북대학교,         중앙일보,   09/26/2011, 2011
30,    울산대학교,         중앙일보,   09/26/2011, 2011
1,     한국과학기술원,     중앙일보,   10/8/2012,  2012
2,     포항공과대학교,     중앙일보,   10/8/2012,  2012
3,     연세대학교,         중앙일보,   10/8/2012,  2012
4,     서울대학교,         중앙일보,   10/8/2012,  2012
5,     성균관대학교,       중앙일보,   10/8/2012,  2012
6,     고려대학교,         중앙일보,   10/8/2012,  2012
7,     서강대학교,         중앙일보,   10/8/2012,  2012
8,     경희대학교,         중앙일보,   10/8/2012,  2012
9,     한양대학교,         중앙일보,   10/8/2012,  2012
10,    중앙대학교,         중앙일보,   10/8/2012,  2012
11,    이화여자대학교,     중앙일보,   10/8/2012,  2012
12,    인하대학교,         중앙일보,   10/8/2012,  2012
13,    동국대학교,         중앙일보,   10/8/2012,  2012
14,    서울시립대학교,     중앙일보,   10/8/2012,  2012
14,    한국외국어대학교,   중앙일보,   10/8/2012,  2012
16,    아주대학교,         중앙일보,   10/8/2012,  2012
17,    건국대학교,         중앙일보,   10/8/2012,  2012
18,    경북대학교,         중앙일보,   10/8/2012,  2012
19,    부산대학교,         중앙일보,   10/8/2012,  2012
20,    전북대학교,         중앙일보,   10/8/2012,  2012
21,    숙명여자대학교,     중앙일보,   10/8/2012,  2012
22,    가톨릭대학교,       중앙일보,   10/8/2012,  2012
23,    숭실대학교,         중앙일보,   10/8/2012,  2012
24,    전남대학교,         중앙일보,   10/8/2012,  2012
25,    충남대학교,         중앙일보,   10/8/2012,  2012
26,    충북대학교,         중앙일보,   10/8/2012,  2012
26,    한국기술교육대학교, 중앙일보,   10/8/2012,  2012
28,    광운대학교,         중앙일보,   10/8/2012,  2012
29,    영남대학교,         중앙일보,   10/8/2012,  2012
30,    홍익대학교,         중앙일보,   10/8/2012,  2012
1,     포항공과대학교,     중앙일보,   10/7/2013,  2013
2,     한국과학기술원,     중앙일보,   10/7/2013,  2013
3,     성균관대학교,       중앙일보,   10/7/2013,  2013
4,     고려대학교,         중앙일보,   10/7/2013,  2013
5,     연세대학교,         중앙일보,   10/7/2013,  2013
5,     서울대학교,         중앙일보,   10/7/2013,  2013
7,     한양대학교,         중앙일보,   10/7/2013,  2013
8,     서강대학교,         중앙일보,   10/7/2013,  2013
8,     중앙대학교,         중앙일보,   10/7/2013,  2013
10,    경희대학교,         중앙일보,   10/7/2013,  2013
11,    이화여자대학교,     중앙일보,   10/7/2013,  2013
12,    한양대학교,         중앙일보,   10/7/2013,  2013
13,    동국대학교,         중앙일보,   10/7/2013,  2013
14,    인하대학교,         중앙일보,   10/7/2013,  2013
15,    아주대학교,         중앙일보,   10/7/2013,  2013
16,    건국대학교,         중앙일보,   10/7/2013,  2013
17,    한국외국어대학교,   중앙일보,   10/7/2013,  2013
18,    부산대학교,         중앙일보,   10/7/2013,  2013
19,    서울시립대학교,     중앙일보,   10/7/2013,  2013
19,    전북대학교,         중앙일보,   10/7/2013,  2013
19,    경북대학교,         중앙일보,   10/7/2013,  2013
22,    한국기술교육대학교, 중앙일보,   10/7/2013,  2013
23,    서울과학기술대학교, 중앙일보,   10/7/2013,  2013
24,    국민대학교,         중앙일보,   10/7/2013,  2013
25,    숭실대학교,         중앙일보,   10/7/2013,  2013
26,    전남대학교,         중앙일보,   10/7/2013,  2013
26,    세종대학교,         중앙일보,   10/7/2013,  2013
26,    가톨릭대학교,       중앙일보,   10/7/2013,  2013
29,    충북대학교,         중앙일보,   10/7/2013,  2013
30,    영남대학교,         중앙일보,   10/7/2013,  2013
1,     포항공과대학교,     중앙일보,   10/6/2014,  2014
2,     한국과학기술원,     중앙일보,   10/6/2014,  2014
3,     성균관대학교,       중앙일보,   10/6/2014,  2014
4,     고려대학교,         중앙일보,   10/6/2014,  2014
5,     서울대학교,         중앙일보,   10/6/2014,  2014
6,     연세대학교,         중앙일보,   10/6/2014,  2014
7,     한양대학교,         중앙일보,   10/6/2014,  2014
8,     중앙대학교,         중앙일보,   10/6/2014,  2014
9,     서강대학교,         중앙일보,   10/6/2014,  2014
9,     경희대학교,         중앙일보,   10/6/2014,  2014
