cname; iso2; iso3; year; pv6t1; pv6t2; pv6t3; pv6t4; pv6t5; pv6t6; pv6t7; pv6t8; pv6t9;
France; fr; fra; 2003; .1472377924227291; .2010385191333245; .0917940965781748; .1026801783932225; .0875163466227649; .0709614009289239; .2000800409652687; .0909074635926268; .0077841613629648;
France; fr; fra; 2004; .1492525074397431; .2005986901224018; .0951935917482957; .1056428060569567; .0864552291876185; .0662720252920959; .2002696427415599; .0884424704553377; .0078730369559907;
France; fr; fra; 2005; .1528187830010557; .2013167748713129; .1006648872851389; .1107726762066858; .0858806932455557; .0666400430175479; .191948524379765; .083091635226654; .0068659827662841;
France; fr; fra; 2006; .1516027729726048; .2025919814208851; .1041044166951585; .1145901560705605; .0827711360264435; .0744759573903806; .1796188127573822; .082269585736804; .0079751809297808;
France; fr; fra; 2007; .1568341979911138; .1980630175997894; .1078309814393417; .1173125964437923; .0830626141342063; .0712812701344844; .1768137143538157; .0819541638268897; .0068474440765666;
France; fr; fra; 2008; .1560531094656257; .1960290560985786; .1093500769826433; .118286714036099; .0867214025775122; .0828921579422041; .1664448467289378; .0768699391323868; .0073526970360125;
France; fr; fra; 2009; .1521060084788687; .1960284649031585; .1142888788533351; .1186953616340734; .0847454060599707; .0761382740332053; .1675346283597578; .0836306338262068; .0068323438514238;
France; fr; fra; 2010; .151709245419915; .1924322747893108; .1094931736021725; .1155142925442133; .0853397580025086; .0857203282918513; .1722775562455144; .0811405936317344; .0063727774727797;
France; fr; fra; 2011; .150173781886799; .1987016557284932; .1120332370200563; .1116081751207215; .0850180296633811; .0771068715045819; .1773523325642579; .0795991630703754; .0084067534413338;
France; fr; fra; 2012; .15271160191242; .2003524313179238; .1119677040406012; .103642633279344; .0852084315014768; .0779651884402411; .180932762415986; .0791068148249006; .0081124322671066;
France; fr; fra; 2013; .1635539788568298; .2042677565305442; .1054743770943403; .0990671596945892; .0824157938313408; .0802079134181602; .1809286372748324; .0761115610329511; .0079728222664121;
France; fr; fra; 2014; .1655441609122282; .212212032210507; .105493771710621; .0940494633201697; .0843005776295579; .0842932044439539; .166538406464018; .0772260732324775; .010342310076467;
France; fr; fra; 2015; .1614823918955212; .2210077535224322; .1062624727696299; .0910757081045087; .0843484738942252; .082440527415349; .1653826412658607; .0793837428832925; .0086162882491806;
France; fr; fra; 2016; .1650643969179662; .2224870906660678; .1091472877965956; .0863274477532902; .0783894551639297; .0846262890676365; .1683449423858075; .0775990299422056; .0080140603065008;
France; fr; fra; 2017; .1710659135177631; .2265425942970541; .1093192294207668; .0830103751062234; .0826385098401789; .0839611693460002; .1631013085609203; .0730546665091279; .0073062334019654;
France; fr; fra; 2018; .1768520488194025; .2334675896790601; .1072871864518432; .0813172662973111; .0808013495521285; .0854815641737161; .1639083278267011; .0625391088587463; .008345558341091;
France; fr; fra; 2019; .1727725429315256; .2418948230539832; .1078849822062744; .0768476761499295; .081448884987053; .0846309801630446; .1610460042407714; .0632518970645617; .0102222092028567;
France; fr; fra; 2020; .1826007813052761; .2415696876824824; .1082315058083924; .0725381325490606; .0795061247158315; .0798311699765994; .1585212799832935; .0676263028396614; .0095750151394028;
Germany; de; deu; 1973; 0; 0; 0; 0; 0; 0; 0; 1; 0;
Germany; de; deu; 1978; 0; 0; 0; 0; 0; 0; 0; 1; 0;
Germany; de; deu; 1983; 0; 0; 0; 0; 0; 0; 0; 1; 0;
Germany; de; deu; 1984; .2245315807214696; .1521784437056318; .0991135610754092; .1016740772030274; .121090874397386; .054864154013658; .1548994871614583; .078171430815923; .0134763909060367;
Germany; de; deu; 1985; .2216950761769116; .1612671142378627; .1077237570168676; .0997386087960647; .1117896247056275; .0610991686453153; .1424049187594047; .0793889813116913; .0148927503502546;
Germany; de; deu; 1986; .2330536600269796; .1709956358185564; .1038536575463285; .085310299246288; .105694966577988; .0644191526044544; .1463814496165055; .0776285384601982; .0126626401027015;
