cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Netherlands; nl; nld; 1999; 272707868883.6535; 2162961882.781365; 27268784376.97812; 60611845557.69159; 74021216729.04538; 108643060337.1571;
Netherlands; nl; nld; 2004; 498194790230.1872; 28045350489.07993; 57248968774.08764; 93285731478.1954; 119219732553.4804; 200395006935.3438;
Netherlands; nl; nld; 2005; 514317758497.855; 28343354135.05297; 56963458446.97782; 92592277163.80965; 126303779217.2295; 210114889534.7851;
Netherlands; nl; nld; 2006; 537907559799.9722; 30418514514.36603; 55535068000.13477; 94846409785.99051; 129407857559.6019; 227699709939.8791;
Netherlands; nl; nld; 2007; 522979920891.3123; 4322494241.40554; 40541592501.59471; 92055959676.81218; 137833902406.7015; 248225972064.7982;
Netherlands; nl; nld; 2008; 546557565026.5178; 5549248320.529594; 43486385790.21324; 97173081361.80281; 142640741775.5521; 257708107778.42;
Netherlands; nl; nld; 2009; 540705950164.4319; 5606941800.878172; 42314885773.29182; 98022887235.923; 143315370875.8118; 251445864478.5271;
Netherlands; nl; nld; 2010; 545360576645.717; 4887769825.513415; 40936498577.86202; 100844976135.9335; 145133160822.5686; 253558171283.8394;
Netherlands; nl; nld; 2011; 555298564387.045; 4578413962.097996; 39667083049.74926; 102200397371.2439; 150535329327.2324; 258317340676.7214;
Netherlands; nl; nld; 2012; 567399246955.2399; 5141213403.631949; 41568206750.41698; 100048262586.4531; 155224601258.3311; 265416962956.4068;
Netherlands; nl; nld; 2013; 547033370411.8531; 4772549987.430183; 37489025382.49427; 93207674644.07524; 149191680462.3867; 262372439935.4667;
Netherlands; nl; nld; 2014; 562858361616.6046; 4625652236.966022; 35298622910.03952; 93202633141.91991; 148655360220.2839; 281076093107.3952;
Netherlands; nl; nld; 2015; 570628079021.9613; 4657188068.860339; 36593628187.60181; 94820246711.19553; 153247397067.6148; 281309618986.6888;
Netherlands; nl; nld; 2016; 592837807036.8754; 4621006000.312901; 37126205060.33742; 100073778747.0973; 159273352742.98; 291743464486.1478;
Netherlands; nl; nld; 2017; 618216505355.2681; 5074567050.021797; 38848136035.47007; 103598949654.2438; 163986406364.0152; 306708446251.5172;
Netherlands; nl; nld; 2018; 635983267516.399; 5847505599.833884; 41257625054.2773; 108360405996.4242; 168982302272.2705; 311535428593.5931;
Netherlands; nl; nld; 2019; 688403946129.9172; 6738026927.148373; 43553317149.20905; 110993940904.0377; 179703035092.1296; 347415626057.3925;
