cname,iso2,year,hnum,numt1,numt2,numt3,numt4,numt5,numt6,numt7,numt8,numt9
Sweden,se,2010,9135141,.0787463488521962,.0812725277037322,.1691299565053238,.127260980427122,.1055378346103251,.0612957150852953,.3118548471227757,.0629992465359867,.0019027620920137
Sweden,se,2011,9218185,.0776661566241077,.0859499999186391,.165717871793634,.1223176796733847,.1047726857293491,.056550828606716,.3184548802177435,.0659020186728732,.0026678787635527
Sweden,se,2012,9334906,.0804846883300164,.0888614197079221,.165720040458897,.1160552661162308,.1066899870229009,.0580637876803473,.3179547817621302,.06485796429016,.0013120646313953
Sweden,se,2013,9632812,.073146138427699,.0990510351494455,.1313729573462038,.1647702664600949,.0951254939886712,.0511882719189371,.3217610807726757,.0596558927964129,.0039288631398599
Sweden,se,2014,9732535,.0766317305820118,.0980544123396422,.1280255349711046,.1600677521324095,.0929503978151633,.0586738193081248,.3172812633090968,.0648981996982287,.0034168898442184
Sweden,se,2015,9839903,.0775824721036376,.0992518930318724,.1278197559467812,.157633464476225,.0940912730542161,.0570950750225891,.3259543310538732,.0548564350685164,.0057151986152709
Sweden,se,2016,9975200,.0773463188707996,.0978844534445425,.1233014876894699,.1571122383511108,.0957589822760446,.0552202462106023,.3312915029272596,.0571919360012832,.0048929344775042
Sweden,se,2017,10120242,.0777514015969183,.0973227715305622,.1291256671530187,.1512416402690766,.0949758908927277,.0608952829388862,.3231312057557517,.060463178647309,.0050930600276159
Sweden,se,2018,10230185,.0837414963659015,.0941983942616873,.1500052051844615,.1394612120895175,.0852556429820184,.066735450043181,.3218976978422189,.0539913012325779,.004713599998436
Sweden,se,2019,10327589,.0825884918541975,.0957467420517993,.1390952912630431,.146254658275034,.0892765968901357,.0639952848627109,.3192464378665728,.0594328453620685,.0043637484024587
United Kingdom,uk,2010,61559551,.0530930285700102,.0767985133614766,.0671570200373944,.1772304999430551,.1650361289997063,.0651386329962023,.3076880953858809,.0797885124275841,.00806956827869
United Kingdom,uk,2011,62439661,.0507259160167446,.0788930612547688,.0663834161431466,.1742538288284429,.1710460439559401,.0613795452861283,.3062583251372873,.0834906678945614,.00756919548298
United Kingdom,uk,2012,62841669,.0549793800034178,.0806766764899258,.0663858561745074,.1653265765427077,.1756792773915664,.0620905214977661,.3064022854007903,.0820216598639352,.0064377666353833
United Kingdom,uk,2013,62856741,.0568475543458418,.0826140190755356,.0675300362772547,.1698264311857976,.1659731770057885,.0632317224337164,.3064979776791164,.0796738570967273,.0078052249002219
United Kingdom,uk,2014,63413165,.0558371120570941,.0859728732984704,.0678980460918486,.1664874478351617,.167397274682631,.0605830508538724,.3088234753777074,.0794816975307888,.0075190222724256
United Kingdom,uk,2015,63907072,.0574922443638163,.0864501662664188,.0677745179750998,.1671054496128379,.1685232269755685,.0648627901462924,.3061579162944595,.073715816615726,.0079178717497807
United Kingdom,uk,2016,64421005,.0569515020760698,.0878187634607687,.0706540979917963,.1653470323848565,.1666356027820429,.0605956395743904,.3068641353856557,.0776106954556204,.0075225308887994
United Kingdom,uk,2017,64641350,.0576875018854031,.0877424434978539,.0659234994318652,.1629119441348301,.174471479942792,.0599271209527648,.3030767612371957,.0793702483008167,.0088890006164785
United Kingdom,uk,2018,65478555,.0580505327278527,.0889346901439716,.0657120487768858,.159326759730724,.1771914025897487,.0588448233165805,.3001453987492546,.0841814087070187,.0076129352579635
United Kingdom,uk,2019,65614604,.059319614273676,.0889369537306055,.0661067161206978,.1619378210375239,.1737590765616752,.0584271300334298,.305547374788698,.0791394397503336,.0068258737033603
United States,us,2010,296915195,.0382677754164788,.0550704486511713,.0735516348363377,.1570076499452984,.1502815206207281,.0620940332811192,.3101549922360828,.1332499874248605,.0203219575879234
United States,us,2011,301504590,.0394021596818808,.0580641574975691,.0723676644524715,.1569633583356061,.1554779912305813,.063912688692401,.3051455800390966,.1268541550229799,.0218122516808119
United States,us,2012,304861092,.0399150312037851,.0599284575153329,.0716936092323648,.1550687911332418,.1594340218396909,.0628283585627254,.3067914353596818,.1226157911945024,.0217245039586751
United States,us,2013,305230164,.0408963348720672,.0613218128729898,.071345340560771,.1533236538181725,.1625683462922754,.0589352302677399,.3055514067738076,.1242584694217836,.021799405120393
United States,us,2014,309490565,.0430873005773213,.0620698760235227,.0711414352809107,.1502529875183756,.1616340000542504,.0580048441864456,.303912767098409,.1261660367578572,.02373075896514
United States,us,2015,310536676,.0440763364131585,.0640713176178906,.0719593649543669,.1512364967801742,.166406353882657,.0597193775591261,.2969376667121921,.1221294839904836,.0234636020899509
United States,us,2016,310964128,.0448132686224181,.067161949303683,.0706441097926253,.1523430573959965,.1687524002768576,.057884715242782,.2929798449292518,.1206047148949605,.0248159363256202
United States,us,2017,314276027,.0456543826678832,.0698815662449494,.0695778968848935,.1506365421884374,.1702470452829035,.0568608849061211,.2923452573746581,.1195025289027216,.0252938987293485
United States,us,2018,315172495,.0471004235315648,.0714811487595071,.0700677640033278,.1506274905111882,.1731057813277773,.0541423070563312,.2892183849989828,.1190942756600635,.0251624241512572
United States,us,2019,314757815,.0469002429693445,.0761531083827101,.0694690837144107,.1494547641334974,.1767741271173839,.0535225153980688,.280086840734995,.1209770915457651,.0266622228267787
