cname,iso2,iso3,year,rtt1,rtt2,rtt3,rtt4,rtt5,rtt6,rtt7,rtt8,rtt9
Japan,jp,jpn,2014,.1275906023097068,.1184621434726658,.1236819407596191,.1141109650831277,.1264712195402241,.1294722083092055,.1363816207975525,.1176382814374266,.1238208440389556
Japan,jp,jpn,2015,.1122727583809582,.0824838772040638,.0958799963444432,.0776199121239182,.1171752153240104,.0514353464104327,.1199116878558786,.1128807936185785,.135331161856431
Japan,jp,jpn,2016,.1684621401459417,.1555859463212289,.0889368526996065,.0833660136578379,.0951343101869836,.264108666408095,.109827989594569,.1146303904397965,.1641190679832087
Japan,jp,jpn,2017,.1582872413139157,.1537767859307896,.1195667944111143,.0846221804690359,.1220847502122904,.118985482273551,.1150924574700543,.0987693540033607,.1139648486842636
Japan,jp,jpn,2018,.2282710498828777,.1532994849070052,.1665788268047839,.1110061301533351,.1932876324793746,.2268069108972652,.1705848850723908,.2219555624409865,.1683007971746577
Japan,jp,jpn,2019,.1640208721728657,.1056981233151131,.0931396318085292,.1214817882652939,.1660706985789928,.1516808733215187,.1468579657004877,.1328815826421446,.1893343735734853
South Korea,kr,kor,2012,.0023706986526523,.0008664272098937,.0016449231072096,.0003475609175764,.0001046961138339,0,0,0,0
South Korea,kr,kor,2014,.0019130017222674,.0000727819467245,.0040235375414114,.0010690440917426,.0001341583335902,0,.0000932364402073,.0005118966597832,0
South Korea,kr,kor,2016,0,0,0,0,0,0,0,0,0
South Korea,kr,kor,2017,0,0,.000889023161682,0,0,0,0,0,0
South Korea,kr,kor,2018,0,0,0,0,0,0,0,0,0
South Korea,kr,kor,2019,0,0,0,0,0,0,0,0,0
Sweden,se,swe,2010,0,0,.0001960440373406,0,0,0,0,0,0
Sweden,se,swe,2011,0,0,0,0,0,0,0,0,0
Sweden,se,swe,2012,0,0,0,0,0,0,0,0,0
Sweden,se,swe,2013,.2543763383884759,.0710273777052022,.2364641111047238,.0911025112670908,.0678740333994783,.4379587101580277,.2071078841684305,.1519560140864261,.1009846959055838
Sweden,se,swe,2014,.2401848919669902,.0823313211630698,.2035964900582936,.0803299539523873,.0814887298797398,.4083575933939493,.1861366896600304,.2876755989673183,.3246772764110076
Sweden,se,swe,2015,.2497907888868871,.0677135580948205,.1748451926190162,.0865751871586714,.088184151089076,.4206327452214645,.1912761944777501,.260260541486475,.5612407924315083
Sweden,se,swe,2016,.2393851154461228,.0757697916796303,.1859032576261043,.0913653169651157,.0661679974422272,.397656811874989,.1804981166519654,.2459970262400252,.379922510388497
Sweden,se,swe,2017,.2357159386819283,.0769473793835955,.1978272243991433,.0969896955754073,.064049449241526,.4450537012876073,.1794615858194598,.2254234199515149,.5392399863792415
Sweden,se,swe,2018,.2262187890807701,.0650848710731488,.1677479331938568,.0739855061611415,.0775454946167633,.3984502535626401,.2062514042551861,.1484714327188475,.4553307219473477
Sweden,se,swe,2019,.2001604912953296,.0565862866884937,.1781719515066655,.0913004936367005,.0724214203315427,.418223419005864,.1910649884397299,.204698170815914,.4602734209588942
United Kingdom,uk,gbr,2010,.0487421455808576,.0175041383917108,.1833556837235944,.1041120123040486,.1130292188138254,.465687092337599,.1656660493684092,.1313926109763434,.1028828868727089
United Kingdom,uk,gbr,2011,.0463191308457748,.0210034153083116,.2097449479584594,.1021866024530461,.1079371580132952,.4773736222504369,.1713923675705051,.121149889058951,.1285837610924679
United Kingdom,uk,gbr,2012,.0533676449987207,.0210136104430559,.1916276866713106,.1088195870444082,.1124724059710621,.526131046841106,.2000135965877862,.1516790192725485,.1622009096302156
United Kingdom,uk,gbr,2013,.0659130674242959,.0209461166589124,.2023529007109542,.1158364946917657,.1221576773349291,.5436593920302727,.2074506484764654,.1497090977126975,.1936585196825999
United Kingdom,uk,gbr,2014,.0623713570461883,.0282992150132837,.2109280175026651,.1091236027936928,.1028694632060789,.5495312959180459,.2119380351004117,.1736160133772841,.1950524847684064
United Kingdom,uk,gbr,2015,.0627139093795835,.0256788645043954,.1976756938090459,.1194649047402338,.1225276062955892,.5502043211036597,.2130994227844955,.1847934668120864,.1678036710882041
United Kingdom,uk,gbr,2016,.0707023655493117,.0279200257787493,.2067743970921925,.1153329449177803,.1137018153892101,.5445047074109445,.2214176536242312,.1494300025261218,.1202453937091552
United Kingdom,uk,gbr,2017,.0633947779001222,.0190257396694871,.2138791059430457,.1145548772520504,.1056674403213599,.5444747623116499,.1981174186019696,.1812708065333489,.1035247312464214
United Kingdom,uk,gbr,2018,.0607905942150424,.026881939239076,.2052887352913151,.1093022315103035,.105133087696795,.5125780091428298,.2036477017579986,.1805698650436124,.0983461856348448
United Kingdom,uk,gbr,2019,.079753704364564,.0231504655163521,.1891293412019552,.0886611680632773,.1226312332291887,.5028222281869111,.1866218051642104,.1579553076692428,.0983975511133637
United States,us,usa,2010,.0119747204358953,.0051746333426339,.0247637179872544,.0082504516701937,.0046841972162746,.005594592990817,.001431334854012,.0034150799480482,.001210779581865
United States,us,usa,2011,.0095281912347905,.0068161237683723,.020590362949936,.0101397034441051,.0044615480109549,.0055574683746319,.0012364046380886,.0014716309177859,.0010225327730967
United States,us,usa,2012,.0107261421959694,.005545460951947,.0208372985624652,.0080601592234425,.0052717162649613,.0052693672002991,.0023141482125781,.0005821707693735,.0015753238143459
United States,us,usa,2013,.0092575872692431,.0067902488407561,.0235276909370906,.0074923603625792,.0048410930842896,.004633105800511,.0021185375528742,.0005501187031357,.0006654717558157
United States,us,usa,2014,.0115261323919966,.0062638378913121,.0254498112141798,.0078553792861825,.004747124192773,.0059371271005327,.0014180387575565,.0007936989402963,.0015472850046202
United States,us,usa,2015,.0101763287062579,.0076312318906476,.0239860513318065,.0074158557008591,.0045032055294801,.0036400083050332,.0012176505303654,.0021274332233228,.0020475291899269
United States,us,usa,2016,.0098854041146541,.0061853073759632,.0204548301382748,.0075752924089665,.0048547423402236,.0061471526667992,.0014709592346091,.0000716163228307,.0012974153032301
United States,us,usa,2017,.0144317211522386,.0074618828402663,.0216789143387086,.0075760149092456,.0052277610293542,.0033594832587125,.0026630011393887,.0012043335626782,0
United States,us,usa,2018,.0108659721553978,.0054716087050116,.0258471573339976,.0062687024772646,.003903814869121,.0034784723014783,.0009624865403668,.0018145742630281,.0039072777198452
United States,us,usa,2019,.0151186069670166,.0070474311296393,.0159943754283795,.0040331745633451,.00472850183181,.0042014913574348,.0015153299099401,.0005138366181368,.0010719693440204
