cname; iso2; iso3; year; ehitotalq0; ehitotalq1; ehitotalq2; ehitotalq3; ehitotalq4; ehitotalq5;
Greece; gr; grc; 2000; 99241238107.31549; 7666066983.8501; 8309692363.959947; 17035279703.80324; 24195624696.96514; 42034574358.73706;
Greece; gr; grc; 2002; 119456533813.5506; 9593917030.615021; 12597064407.69003; 20483162997.41438; 27794779008.73146; 48987610369.09974;
Greece; gr; grc; 2003; 126009344988.1674; 9884853817.921602; 13805316775.95454; 21164694646.87101; 29623826987.44082; 51530652759.97942;
Greece; gr; grc; 2004; 136585003474.8056; 10779388142.5976; 14698981884.4985; 22369905268.60161; 31861272355.73763; 56875455823.37023;
Greece; gr; grc; 2005; 143653704655.9005; 11685692892.79262; 15423045640.84948; 23101362690.74309; 32431842153.32002; 61011761278.1953;
Greece; gr; grc; 2006; 196110577988.1281; 12494722753.38625; 18885234653.30836; 28483494304.90094; 45154712563.03993; 91092413713.49255;
Greece; gr; grc; 2007; 207364622599.748; 13823692150.3312; 21139249829.84686; 30655271679.46217; 47511320604.03056; 94235088336.07719;
Greece; gr; grc; 2008; 216309263681.646; 13802954300.44454; 21402391094.19418; 31684885936.0256; 49080299151.02622; 100338733199.9554;
Greece; gr; grc; 2009; 221592902643.6876; 14724658334.47145; 22787341472.83589; 32787063167.68434; 51412680734.05033; 99881158934.64557;
Greece; gr; grc; 2010; 198347242458.0069; 16058757786.97425; 21140163451.25283; 30572469797.18656; 44044465391.82397; 86531386030.76933;
Greece; gr; grc; 2011; 170068643727.8737; 12788762508.22826; 18691607220.61143; 24573067486.19165; 37452207056.68158; 76562999456.16077;
Greece; gr; grc; 2012; 155436618199.26; 14005773400.05832; 14103143711.97727; 23341341248.14138; 36159274026.32803; 67827085812.75504;
Greece; gr; grc; 2013; 144725780809.9504; 13756937273.64602; 13055321606.22383; 20771792239.79801; 32103229595.23689; 65038500095.04564;
Greece; gr; grc; 2014; 143000252066.8198; 13842699064.25278; 12627564875.40682; 20990324657.36459; 31897979562.86061; 63641683906.93496;
Greece; gr; grc; 2015; 141457284558.7709; 13219269651.69045; 13122514184.28046; 20629731601.41976; 31083448051.49492; 63402321069.88535;
Greece; gr; grc; 2016; 156417591747.1497; 14679578291.09016; 15228971394.35533; 23778822572.16008; 36031404128.32315; 66698815361.22102;
Greece; gr; grc; 2017; 157898615439.6386; 14734832009.52016; 14909066178.86277; 25382802236.0111; 37501574847.28188; 65370340167.96274;
Greece; gr; grc; 2018; 172914893778.3209; 16163222457.41182; 17902218808.53092; 28910325605.68372; 41133689715.97465; 68805437190.71973;
Greece; gr; grc; 2019; 183904514494.6572; 14958182467.52468; 20075435594.95224; 29683031316.39197; 42961565234.03172; 76226299881.75659;
Greece; gr; grc; 2020; 177172432338.7828; 15327588589.95381; 17742963435.39016; 30178633856.06159; 41251796748.54059; 72671449708.83665;
Greece; gr; grc; 2021; 180443127323.4784; 13595233342.63274; 19466333420.38906; 31532689262.31446; 39518746786.26121; 76330124511.88089;
Hungary; hu; hun; 1991; 2096580069468.048; 129490159251.5606; 238926283394.3321; 373058201556.8412; 513899935760.0833; 841205489505.2306;
Hungary; hu; hun; 1994; 2998559651725.776; 204798446126.8289; 263951807276.7775; 523049197347.3582; 708522141681.9207; 1298238059292.891;
Hungary; hu; hun; 1999; 6643754822279.441; 541262140288.4808; 702115541687.7328; 1144609957996.009; 1558974997054.557; 2696792185252.662;
Hungary; hu; hun; 2005; 12484789366978.26; 1471200218047.718; 813763849864.8394; 2221139356019.45; 2971450941945.334; 5007235001100.917;
Hungary; hu; hun; 2007; 13487824773965.26; 1564443643888.617; 1050383338946.481; 2577582774783.503; 3183565512105.156; 5111849504241.505;
Hungary; hu; hun; 2009; 14256763210792.24; 2159031721795.918; 773426935391.2816; 2771432554190.216; 3211633742647.889; 5341238256766.938;
Hungary; hu; hun; 2012; 16260967315959.71; 2237801495494.188; 873219405456.9607; 3011902589829.629; 3944594919908.322; 6193448905270.611;
Hungary; hu; hun; 2015; 21164867337951.71; 2413702282063.333; 2023569025507.552; 4115395750492.249; 4660323099777.633; 7951877180110.939;
Ireland; ie; irl; 1987; 32146349028.88129; 1662015093.610021; 2837395932.544708; 5433098323.002441; 8163237982.640137; 14050601697.08398;
Ireland; ie; irl; 1994; 42370693259.61028; 3226094672.832611; 3557587756.92484; 7785550270.723289; 10685837174.99393; 17115623384.13561;
Ireland; ie; irl; 1995; 44966352524.89178; 2800796789.680446; 3949105640.174709; 8673582037.724344; 10792968391.14072; 18749899666.17155;
Ireland; ie; irl; 1996; 48545658683.36629; 2991923288.000992; 4727331485.342546; 8868743042.837997; 11992438003.97585; 19965222863.2089;
Ireland; ie; irl; 2000; 60443607109.61108; 2885945978.240328; 5593774483.838573; 11618922124.8336; 14664241608.50337; 25680722914.19521;
