cname,iso2,dcgroup,hunm,numm,numf,num17,num1864,num65
Sweden,se,3,1021131,.4832984210644863,.5167005996292346,.195977793250817,.4299791113970686,.3740421160458354
Sweden,se,4,1021931,.4826901229143651,.5173088985459879,.2804152139430157,.5226527035582638,.1969320824987206
Sweden,se,5,1020040,.5177649896082507,.4822350103917493,.2895396258970236,.5964050429394926,.1140553311634838
Sweden,se,6,1021805,.528761358576245,.471238641423755,.2552424386257652,.6689984879698181,.0757590734044167
Sweden,se,7,1021837,.5339618745455489,.4660371468247871,.2452103417668376,.6864225899042606,.0683670683289018
Sweden,se,8,1021239,.5295959124161925,.4704050667865211,.2174721098587108,.7194809442255926,.0630479251184101
Sweden,se,9,1022452,.5356936071326576,.4643063928673424,.2020143732908733,.7485006631118135,.0494849635973131
Sweden,se,10,1020695,.5186848176977452,.4813161620268542,.1843322442061537,.7647416711162492,.0509270644021965
Sweden,se,11,10379295,.5031986276524562,.4968013723475438,.2133186309860159,.5855033506610998,.2011780183528843
United Kingdom,uk,1,6595036,.4625985362324027,.5374014637675973,.193623052247175,.4869698967526485,.3194070510001765
United Kingdom,uk,2,6596299,.4425017725848995,.5574982274151005,.2210994377301575,.3328351246661196,.4460654376037229
United Kingdom,uk,3,6598088,.4833165304858014,.5166834695141986,.2625891015700306,.4581134716602749,.2792974267696945
United Kingdom,uk,4,6595323,.4814423796984621,.518557620301538,.2424750084264258,.5308316211351589,.2266933704384152
United Kingdom,uk,5,6625828,.505997891886116,.494002108113884,.2546231203103974,.5840159146902093,.1613609649993933
United Kingdom,uk,6,6558679,.5021361771173738,.4978638228826262,.2205227607571586,.6648289998641495,.114648239378692
United Kingdom,uk,7,6596859,.5047579461680173,.4952420538319828,.1846348390953937,.7211961025694198,.0941690583351865
United Kingdom,uk,8,6595060,.5097618520529003,.4902381479470998,.2078149402734774,.7325172174324418,.0596678422940807
United Kingdom,uk,9,6606323,.522602058664101,.477397941335899,.1461846476474129,.7914084733671061,.062406878985481
United Kingdom,uk,10,6581094,.5217023187938054,.4782976812061946,.19033370439626,.7574441270706663,.0522221685330737
United Kingdom,uk,11,66004521,.4938163856987918,.5061836143012083,.2122204931992462,.6060045189934793,.1817749878072746
United States,us,1,31640140,.4448204085064099,.5551795914935901,.0968110444517629,.3524033395553876,.5507855843874269
United States,us,2,31631301,.448568745243833,.5514312547561671,.2561754257278258,.449699681970084,.2941248923020903
United States,us,3,31654422,.4636303894602782,.5363695789485589,.2898025116364469,.5230038950008311,.187193593362722
United States,us,4,31614854,.4880665904704162,.5119334095295838,.2839940681048219,.5795773404488915,.1364286230769878
United States,us,5,31641492,.4845226957060053,.5154773042939947,.2545372070318302,.6313531296185401,.1141096317455574
United States,us,6,31628197,.4981767692922869,.5018232623250702,.2410601843665006,.6520899057255777,.1068499415252789
United States,us,7,31639543,.5061579113200213,.4938420886799787,.2146067975760586,.68464958548864,.1007436169353015
United States,us,8,31635754,.5051740824637845,.4948259175362155,.1990128005167824,.7059553567144314,.0950318743785908
United States,us,9,31633617,.5066200302039441,.4933799697960559,.1900637540120689,.7176949129781777,.0922413013978136
United States,us,10,31629270,.5169653931311092,.4830346068688908,.1782720246151745,.7221852417080761,.0995427336767494
United States,us,11,316348589,.4862679599307459,.5137320400692541,.2204323882727987,.6018538144957555,.1777137972314458
