cname,iso2,iso3,year,caret1,caret2,caret3,caret4,caret5,caret6,caret7,caret8,caret9,disabled
United Kingdom,uk,gbr,2018,1,1,.19673323680547,.0822242176984469,.1960140929145057,.286137140245529,.2302460850164082,.1359511172792383,.4242927513515488,43087
United Kingdom,uk,gbr,2019,1,1,.1847093508202526,.0756190352140128,.2045457867862001,.2785522023012942,.219168651214995,.1440554228589437,.378283553067473,43314
United States,us,usa,2010,1,1,.163858418430547,.0924856652784943,.2330515168421116,.6062213649509454,.4710375386133469,.3248239533119688,.5916729036290274,156245
United States,us,usa,2011,1,1,.1666247118374607,.0910546801193183,.2412249395468605,.6097136838664039,.471802956452736,.3182133019941801,.5995152933119062,154050
United States,us,usa,2012,1,1,.1675938860027318,.0882153339973095,.243078422137868,.617464904668765,.4709232981238011,.3219015382946764,.5982804982081524,155173
United States,us,usa,2013,1,1,.1729075194437265,.0961088782785347,.2447493258820194,.6114466931346181,.4675919453189307,.3175071023824697,.6096281592153826,107131
United States,us,usa,2014,1,1,.1927028095621638,.0994414643687387,.2449027656780871,.6141070220498136,.4767497922613077,.3209775165217978,.6134519082749786,153404
United States,us,usa,2015,1,1,.1848546741421751,.0921052869285443,.2462007997953395,.6118091998715904,.4774224349465667,.3197462034527827,.6157976303206297,143152
United States,us,usa,2016,1,1,.1806805330415404,.0907216319541793,.2633075444667811,.6133031766974483,.4750236644194036,.321079168203917,.6116800605752504,144164
United States,us,usa,2017,1,1,.1821656675875538,.0911661419861775,.2519951199342564,.61489308768361,.4794700084040017,.3176576625931146,.6052826145154359,140096
United States,us,usa,2018,1,1,.1790049101476893,.0835358693100994,.2543580614503977,.6135808044023056,.4756330314766165,.3154651748334671,.6008846560857553,140814
United States,us,usa,2019,1,1,.1719720470654179,.0806295221884298,.2572005910812705,.6202919293624658,.4755451346622998,.3135503774178106,.6030175272417115,124429
