cname; iso2; iso3; year; ehpublicq0; ehpublicq1; ehpublicq2; ehpublicq3; ehpublicq4; ehpublicq5;
Romania; ro; rou; 2018; 114942054376.2642; 37435247803.40989; 28747040701.18237; 21023646022.25113; 15534303999.44467; 12201815849.97617;
Romania; ro; rou; 2019; 129599804531.5758; 42824320985.68282; 32882503375.96719; 22790621587.26456; 18566944161.34475; 12535414421.3165;
Romania; ro; rou; 2020; 158501909022.4669; 49330006798.09727; 37897446155.66368; 29851495647.98203; 23437420745.63361; 17985539675.09027;
Romania; ro; rou; 2021; 197117536771.4818; 62692377435.77227; 53429190030.19415; 38425751500.39997; 27852704986.89914; 14717512818.21621;
Russia; ru; rus; 2000; 593312574464.4144; 144808620232.6946; 138638733046.4361; 122316942876.3536; 102207126425.9191; 85341151883.01114;
Russia; ru; rus; 2004; 1778054732919.547; 443491191024.5895; 388299815453.1988; 316972693364.5496; 304738390230.3152; 233675492372.7985;
Russia; ru; rus; 2007; 3117242663067.861; 760099306067.7083; 677847496978.7145; 541929282931.194; 479425074702.9413; 411784422706.2281;
Russia; ru; rus; 2010; 6603304856612.896; 1724051725071.034; 1461925175588.757; 1106445070513.877; 1041052748629.784; 988318342870.6763;
Russia; ru; rus; 2011; 9459690221621.666; 2859338145040.642; 2207429184651.884; 1645163761827.749; 1443385476390.785; 1304373653710.606;
Russia; ru; rus; 2013; 12068765337521.29; 3489671163090.492; 2978894648079.169; 2173326117196.807; 1778541975455.822; 1648331433698.998;
Russia; ru; rus; 2014; 12999113311712.76; 3783553330821.409; 3279071714644.583; 2307233761646.442; 1926695700812.291; 1702558803788.036;
Russia; ru; rus; 2015; 13860081738888; 4102093805059.055; 3407280615619.085; 2480978609761.211; 2206841681238.388; 1662887027210.263;
Russia; ru; rus; 2016; 15053786833601.05; 4387460739561.979; 3752572343792.585; 2864554057501.943; 2202591752371.406; 1846607940373.142;
Russia; ru; rus; 2017; 15649523926218.44; 4641640107459.424; 3973627327117.762; 2795029069891.803; 2300219862370.051; 1939007559379.4;
Russia; ru; rus; 2018; 16227276603770.43; 4876633345735.225; 4030345671123.701; 2985585627463.469; 2295928545270.114; 2038783414177.922;
Russia; ru; rus; 2019; 16539864466252.01; 5081320479305.735; 4143343189567.137; 2922236786814.629; 2352379428581.874; 2040584581982.638;
Russia; ru; rus; 2020; 18328026689749.94; 5548698735133.182; 4941843625582.29; 3246232123497.222; 2505799722636.729; 2085452482900.515;
Russia; ru; rus; 2021; 18808814681668.98; 5823317284432.212; 4927784729410.81; 3391596374009.503; 2511763528498.587; 2154352765317.867;
Russia; ru; rus; 2022; 20164108613121.88; 6927008737945.438; 5166178927248.45; 3076438840992.848; 2807034624365.933; 2187447482569.215;
Serbia; rs; srb; 2006; 470464524767.1936; 152012090156.5793; 96260939839.20889; 94628883410.64807; 75780080626.37697; 51782530734.3804;
Serbia; rs; srb; 2007; 569844572811.8363; 175703081264.274; 113617295789.9605; 109723299128.5244; 99897609951.02591; 70903286678.05153;
Serbia; rs; srb; 2008; 626951666213.4519; 217359078104.6334; 115762281219.5251; 119060928921.8036; 108247950461.301; 66521427506.1888;
Serbia; rs; srb; 2009; 774841927920.0924; 270108710144.2869; 122933860866.6913; 152688340345.2582; 138305145044.8493; 90805871519.0067;
Serbia; rs; srb; 2010; 828888751346.2985; 325090730750.3987; 112229277671.4893; 156992158427.2803; 139503728984.6967; 95072855512.43346;
Serbia; rs; srb; 2011; 845150829449.214; 345214666868.6759; 118977284031.816; 158294909700.7363; 138697208153.2667; 83966760694.71913;
Serbia; rs; srb; 2012; 946277735784.4128; 377872461000.4689; 111309178828.5953; 189428541316.9846; 166063653129.3132; 101603901509.0509;
Serbia; rs; srb; 2013; 926012527273.1364; 363147956821.8806; 138752095390.4126; 188289322620.519; 152550614148.9817; 83272538291.34239;
Serbia; rs; srb; 2014; 948863575625.3846; 380363762298.5298; 137531895077.1855; 179328892988.9769; 159522628427.4092; 92116396833.28311;
Serbia; rs; srb; 2015; 921612458686.0923; 356867384069.2617; 140169124780.1627; 182278201275.4719; 146921328356.6597; 95376420204.5363;
Serbia; rs; srb; 2016; 933262223923.9675; 363426337919.7146; 131953449815.1201; 193656093858.8914; 157726123013.4046; 86500219316.83681;
Serbia; rs; srb; 2017; 960628446279.656; 403399381529.5417; 114052964869.375; 210091174412.518; 140260185281.2354; 92824740186.98589;
Serbia; rs; srb; 2018; 1012692064775.568; 445034564461.7684; 108083683405.3177; 213529937417.5486; 147979751825.828; 98064127665.10481;
Serbia; rs; srb; 2019; 1068541128221.304; 464402366659.9644; 102966284373.7759; 240635500467.9617; 160023238479.7448; 100513738239.8568;
Serbia; rs; srb; 2021; 1162696307288.512; 515501547942.9733; 104819460059.4926; 254992681683.2499; 186178110170.2802; 101204507432.5161;
Serbia; rs; srb; 2022; 1242296547057.946; 576861456623.7849; 97363044782.94209; 268208373429.2036; 188912386084.6845; 110951286137.3309;
Slovakia; sk; svk; 1992; 2736961051.189924; 898708421.773152; 569938097.1658456; 621320538.1901953; 397805493.3589725; 249188500.7017587;
Slovakia; sk; svk; 1996; 3623671001.323127; 1023617077.513246; 1153889972.205758; 742349475.0616943; 470316390.0722902; 233498086.4701381;
Slovakia; sk; svk; 2004; 7017522690.279301; 1940250787.292048; 1892516220.192753; 1516210823.597971; 959915777.5950114; 708629081.6015174;
Slovakia; sk; svk; 2007; 8805511232.520111; 2453064464.99369; 2588602356.652167; 1864495493.43477; 1101573697.072632; 797775220.366853;
Slovakia; sk; svk; 2010; 11105928851.77565; 3145177909.855575; 3392254246.537608; 2266856189.795684; 1405901167.650759; 895739337.9360268;
Slovakia; sk; svk; 2013; 11166393439.36305; 3044606187.449277; 3214708719.535577; 2320928389.140795; 1600581976.816132; 985568166.4212728;
Slovakia; sk; svk; 2014; 11527844114.0233; 3253362935.192257; 3518539604.904094; 2267449976.001931; 1570790973.046194; 917700624.8788222;
Slovakia; sk; svk; 2015; 11541792396.03802; 3359038118.655551; 3604545515.820399; 2251528316.668651; 1316393805.001435; 1010286639.891981;
Slovakia; sk; svk; 2016; 11562984519.40535; 3285248073.120373; 3428290858.565997; 2315492411.160316; 1567296184.339916; 966656992.2187487;
Slovakia; sk; svk; 2017; 12808404788.16022; 3618239730.509457; 3908653267.730777; 2566723097.732619; 1674608659.12677; 1040180033.060591;
Slovakia; sk; svk; 2018; 13288869819.73829; 3890577136.834196; 4050360663.508311; 2629655290.698907; 1641293865.432304; 1076982863.26457;
South Korea; kr; kor; 2006; 27932287127314.51; 12565483906534.23; 5344510979944.409; 4032848838797.696; 2991379801795.225; 2998063600242.949;
South Korea; kr; kor; 2008; 38629601623438.94; 15169768727378.67; 8553906039559.355; 6197822572409.99; 3907550038120.577; 4800554245970.351;
South Korea; kr; kor; 2010; 49187412140241.65; 19990966226785.03; 10327021282766.63; 6894734749534.457; 5969723109654.987; 6004966771500.545;
South Korea; kr; kor; 2012; 56590466456977.6; 22008736246186.46; 11703595366765.88; 8521460445858.604; 6483257085441.325; 7873417312725.33;
South Korea; kr; kor; 2014; 70685724691568.28; 27971494486509.48; 15849845455625.36; 11041359408507.3; 8651663657845.336; 7171361683080.797;
South Korea; kr; kor; 2016; 0; 0; 0; 0; 0; 0;
South Korea; kr; kor; 2017; 0; 0; 0; 0; 0; 0;
South Korea; kr; kor; 2018; 0; 0; 0; 0; 0; 0;
South Korea; kr; kor; 2019; 0; 0; 0; 0; 0; 0;
South Korea; kr; kor; 2020; 0; 0; 0; 0; 0; 0;
South Korea; kr; kor; 2021; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1980; 11445913768.74965; 5560976363.955657; 2673428359.733141; 1411080085.406003; 1027963050.678705; 772178198.5163137;
Spain; es; esp; 1985; 27793435279.4436; 10465447857.47085; 7784074642.33878; 4057552698.931401; 2673713678.10371; 2812646402.598858;
Spain; es; esp; 1990; 49758062338.8263; 17262244309.90733; 14309643608.16682; 8249566630.639235; 5842362722.254918; 4094245067.857995;
Spain; es; esp; 1993; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1994; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1995; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1996; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1997; 0; 0; 0; 0; 0; 0;
