cname; iso2; iso3; year; ehipubsocq0; ehipubsocq1; ehipubsocq2; ehipubsocq3; ehipubsocq4; ehipubsocq5;
Norway; no; nor; 1991; 32149805691.73288; 5619387184.457833; 7392553559.074621; 9306200473.919664; 5644674033.683089; 4186990440.597672;
Norway; no; nor; 1995; 53172178755.91953; 8650679657.865852; 11818563752.31729; 15670455981.57327; 10686462868.39645; 6346016495.766662;
Norway; no; nor; 2000; 83792812458.71277; 15494888054.99364; 20917624954.77306; 22930676064.21418; 14349796781.38935; 10099826603.34255;
Norway; no; nor; 2004; 164407539138.0257; 31382550983.36355; 36736923492.77626; 49700104076.61241; 28392470477.66879; 18195490107.60468;
Norway; no; nor; 2007; 173252098552.8941; 29768863299.13145; 39232896931.95724; 50369413535.3467; 31393773189.84589; 22487151596.6128;
Norway; no; nor; 2010; 185977243992.4482; 30842593430.0054; 38926059965.26317; 55708480041.79144; 35912132544.01032; 24587978011.37788;
Norway; no; nor; 2013; 240034624548.6923; 47101453234.70692; 52640202489.00123; 67070062343.32204; 43948725894.92421; 29274180586.7379;
Norway; no; nor; 2016; 364731737657.2446; 88497629157.87785; 81245008235.22162; 96145597019.67055; 59341567457.62106; 39501935786.85352;
Norway; no; nor; 2019; 249915521464.3375; 45460273490.99001; 50985089336.71777; 72455389223.12195; 47953849525.89878; 33060919887.60901;
Norway; no; nor; 2020; 302516522689.807; 49575485205.70728; 58980986993.82789; 89701107807.03828; 60526934832.37024; 43732007850.8633;
Norway; no; nor; 2021; 298850374227.1224; 48742354990.51226; 61690232463.45566; 89069122434.73308; 57726452088.85816; 41622212249.56327;
Norway; no; nor; 2022; 291313831540.4011; 49126374474.86905; 59013803649.19682; 85911131738.21815; 56803525291.92947; 40458996386.18761;
Paraguay; py; pry; 1997; 30659390647.77344; 11032932758.02734; 10359422631.40234; 4594236058.238281; 3508525071.105469; 1164274129;
Paraguay; py; pry; 1999; 85567805110.125; 20652603680.71094; 19924148290.96094; 19564858615.15234; 15958458159.28516; 9467736364.015625;
Paraguay; py; pry; 2000; 52360057760.97656; 19299040193.96094; 13727950154.86328; 9456629269.457031; 5959764256.683594; 3916673886.011719;
Paraguay; py; pry; 2002; 0; 0; 0; 0; 0; 0;
Paraguay; py; pry; 2003; 78337778332.60547; 29620232548.32031; 21543403731.99219; 13897267338.35156; 9761953272.253906; 3514921441.6875;
Paraguay; py; pry; 2004; 262174855118.6953; 72140353451.96875; 75744795988.85938; 56632554783.17969; 42069479839.53125; 15587671055.15625;
Paraguay; py; pry; 2005; 336985459844.9609; 81959307185.34375; 104814956282.5234; 76669394922.76563; 58326661948.45313; 15215139505.875;
Paraguay; py; pry; 2006; 364554287242.6719; 128795569672.6953; 107408660240.2813; 67324222729.91406; 41341418232.07031; 19684416367.71094;
Paraguay; py; pry; 2007; 388778568535.4375; 133051706589.0156; 98127794961.32813; 82874043098.04688; 48979442826.40625; 25745581060.64063;
Paraguay; py; pry; 2008; 499116291929.2656; 148381034965.8125; 141856438031.0625; 114276330281.1563; 67991445417.75; 26611043233.48438;
Paraguay; py; pry; 2009; 771198742056.625; 254615648922.8594; 216534284552.7344; 128379093584.4531; 104616904974.3594; 67052810022.21875;
Paraguay; py; pry; 2010; 980588193277.9141; 385915913191.6953; 247309650517.7656; 177313800833.3281; 104308066878.8906; 65740761856.23438;
Paraguay; py; pry; 2011; 903851401358.4844; 340929026694.125; 245706804458.875; 165728047834.3438; 97404456563.5625; 54083065807.57813;
Paraguay; py; pry; 2012; 1244523790172.727; 474429098017.6016; 336444399694.9375; 208574601554.3125; 156092466120.0156; 68983224785.85938;
Paraguay; py; pry; 2013; 1150166113820.328; 367181913277.0625; 329303720831.6563; 249975948990.1875; 138367491607.4219; 65337039114;
Paraguay; py; pry; 2014; 1236122562772.25; 472834270467.0781; 313021449493.8125; 232158585026.5938; 153933434333.1406; 64174823451.625;
Paraguay; py; pry; 2015; 1379728829500.859; 543329239158.2813; 371682520139.3438; 240006111931.1406; 153107136187.7969; 71603822084.29688;
Paraguay; py; pry; 2016; 1764325326921.078; 699936157241.3594; 491641986885.4219; 300617408556.4375; 187921389719.7188; 84208384518.14063;
Paraguay; py; pry; 2017; 1707287478589.233; 623022406237.8652; 509241368853.8193; 310172621401.5352; 178013104876.0234; 86837977219.99023;
Paraguay; py; pry; 2018; 1752576220922.641; 617119822296.1953; 490226042497.2109; 357261637780.2031; 196820445613.9063; 91148272735.125;
Paraguay; py; pry; 2019; 1860030484546.609; 653660694470.3281; 561799404091.168; 333453419331.418; 208402390736.5313; 102714575917.1641;
Paraguay; py; pry; 2020; 2091138913197.965; 603024907223.3223; 624664147380.2783; 451079877337.1016; 262385816842.8105; 149984164414.4521;
