cname,iso2,name,group,grcat,value
France,fr,rent,6,1,.1570625794534932
France,fr,abhlth,6,1,.0134980117772386
France,fr,xbhlth,6,1,.1144407355439873
France,fr,anoemp,6,1,.1329819726785396
France,fr,xnoemp,6,1,.588582832193087
France,fr,aptjob,6,1,.0087478734696192
France,fr,xptjob,6,1,.0920707230574081
France,fr,aisolt,6,1,.0501289469214194
France,fr,xisolt,6,1,.1519971512721571
France,fr,aunemp,6,1,.0157641378417741
France,fr,xunemp,6,1,.1465035908934601
France,fr,pv5,7,1,.2181981080610978
France,fr,pv6,7,1,.2539912365843953
France,fr,care,7,1,.5537608306436915
France,fr,rent,7,1,.1569890817256715
France,fr,abhlth,7,1,.0112716746299618
France,fr,xbhlth,7,1,.1157335443274755
France,fr,anoemp,7,1,.1084148281313512
France,fr,xnoemp,7,1,.5721971406072357
France,fr,aptjob,7,1,.0069038430708832
France,fr,xptjob,7,1,.09494360970531
France,fr,aisolt,7,1,.053864753260616
France,fr,xisolt,7,1,.1514890687569062
France,fr,aunemp,7,1,.0135698156354344
France,fr,xunemp,7,1,.1512569687321298
France,fr,pv5,8,1,.2142476571745544
France,fr,pv6,8,1,.2494981975782189
France,fr,care,8,1,.5489576530230943
France,fr,rent,8,1,.1571110276980419
France,fr,abhlth,8,1,.0104226146165044
France,fr,xbhlth,8,1,.1183033254943107
France,fr,anoemp,8,1,.0980257276811809
France,fr,xnoemp,8,1,.5707082557259394
France,fr,aptjob,8,1,.0059428376098575
France,fr,xptjob,8,1,.097396196142378
France,fr,aisolt,8,1,.0528357262624197
France,fr,xisolt,8,1,.1544731573909626
France,fr,aunemp,8,1,.0112055291071752
France,fr,xunemp,8,1,.1539024127260083
France,fr,pv5,9,1,.2174331926223924
France,fr,pv6,9,1,.251624072723836
France,fr,care,9,1,.5394965564653339
France,fr,rent,9,1,.1563604393217258
France,fr,abhlth,9,1,.0100746597992809
France,fr,xbhlth,9,1,.1262911159278178
France,fr,anoemp,9,1,.0961333470898927
France,fr,xnoemp,9,1,.5836842658833346
France,fr,aptjob,9,1,.0051584112117684
France,fr,xptjob,9,1,.0985812087401591
France,fr,aisolt,9,1,.0496342062336755
France,fr,xisolt,9,1,.1587918821364348
France,fr,aunemp,9,1,.0097384350426874
France,fr,xunemp,9,1,.1564920485696897
France,fr,pv5,10,1,.2276111582976107
France,fr,pv6,10,1,.2611159539272596
France,fr,care,10,1,.5386635782641256
France,fr,rent,10,1,.1558933043990494
France,fr,abhlth,10,1,.0116566897667708
France,fr,xbhlth,10,1,.1359428116897961
France,fr,anoemp,10,1,.1189694537690188
France,fr,xnoemp,10,1,.5998249382646598
France,fr,aptjob,10,1,.0043920713165647
France,fr,xptjob,10,1,.0950891409280445
France,fr,aisolt,10,1,.0530135115682511
France,fr,xisolt,10,1,.1643090527048311
France,fr,aunemp,10,1,.0084789371834415
France,fr,xunemp,10,1,.1472816700527682
France,fr,pv5,1,2,.5908305846890279
France,fr,pv6,1,2,.6164365846286982
France,fr,care,1,2,.63200511258198
France,fr,rent,1,2,.155371312303512
France,fr,abhlth,1,2,.0759930588314524
France,fr,xbhlth,1,2,.2101311556732772
France,fr,anoemp,1,2,.6836504989409367
France,fr,xnoemp,1,2,.8377734166855335
France,fr,aptjob,1,2,.0067163446000821
France,fr,xptjob,1,2,.0277245257734505
France,fr,aisolt,1,2,.065365885025372
France,fr,xisolt,1,2,.1423451489402904
France,fr,aunemp,1,2,.01068238395322
France,fr,xunemp,1,2,.0381294227828676
France,fr,pv5,2,2,.562729057492559
France,fr,pv6,2,2,.5915135986563751
France,fr,care,2,2,.6353294653160499
France,fr,rent,2,2,.1539548220210368
France,fr,abhlth,2,2,.075437713542685
France,fr,xbhlth,2,2,.1781521485750285
France,fr,anoemp,2,2,.5925109082576241
France,fr,xnoemp,2,2,.7776277895694671
France,fr,aptjob,2,2,.0116351450520613
France,fr,xptjob,2,2,.0399711450861853
France,fr,aisolt,2,2,.0763826026933061
France,fr,xisolt,2,2,.1335149667557946
France,fr,aunemp,2,2,.015522008623885
France,fr,xunemp,2,2,.0543025593971109
France,fr,pv5,3,2,.
France,fr,pv6,3,2,.
France,fr,care,3,2,.
France,fr,rent,3,2,.
France,fr,abhlth,3,2,.
France,fr,xbhlth,3,2,.
France,fr,anoemp,3,2,.
France,fr,xnoemp,3,2,.
France,fr,aptjob,3,2,.
France,fr,xptjob,3,2,.
France,fr,aisolt,3,2,.
France,fr,xisolt,3,2,.
France,fr,aunemp,3,2,.
France,fr,xunemp,3,2,.
France,fr,pv5,4,2,.
France,fr,pv6,4,2,.
France,fr,care,4,2,.
France,fr,rent,4,2,.
France,fr,abhlth,4,2,.
France,fr,xbhlth,4,2,.
France,fr,anoemp,4,2,.
France,fr,xnoemp,4,2,.
France,fr,aptjob,4,2,.
France,fr,xptjob,4,2,.
France,fr,aisolt,4,2,.
France,fr,xisolt,4,2,.
France,fr,aunemp,4,2,.
France,fr,xunemp,4,2,.
France,fr,pv5,5,2,.5414986240829608
France,fr,pv6,5,2,.5758224002603932
France,fr,care,5,2,.6277909274643451
France,fr,rent,5,2,.1689801287096967
France,fr,abhlth,5,2,.024745345544105
France,fr,xbhlth,5,2,.2275686572977614
France,fr,anoemp,5,2,.5666831613867518
France,fr,xnoemp,5,2,.8449870051609309
France,fr,aptjob,5,2,.0104115329791345
France,fr,xptjob,5,2,.0513785434080872
France,fr,aisolt,5,2,.0384322451729607
France,fr,xisolt,5,2,.1682836928069857
France,fr,aunemp,5,2,.0144094342118496
France,fr,xunemp,5,2,.0670321415463666
France,fr,pv5,6,2,.6548373257331476
France,fr,pv6,6,2,.6784832061177523
France,fr,care,6,2,.6658844843921495
France,fr,rent,6,2,.141003181776498
France,fr,abhlth,6,2,.1358340658565757
France,fr,xbhlth,6,2,.1438152500290212
France,fr,anoemp,6,2,.7448611212725978
France,fr,xnoemp,6,2,.7925185029308766
France,fr,aptjob,6,2,.0156205716050373
France,fr,xptjob,6,2,.0237357283381135
France,fr,aisolt,6,2,.0974835766403144
France,fr,xisolt,6,2,.0981933100278824
France,fr,aunemp,6,2,.0200167562940368
France,fr,xunemp,6,2,.0333320388029151
France,fr,pv5,7,2,.5969602494603343
France,fr,pv6,7,2,.6249611305704291
France,fr,care,7,2,.6465924745923349
France,fr,rent,7,2,.1569381512405789
France,fr,abhlth,7,2,.0733737262832129
France,fr,xbhlth,7,2,.1974087338087332
France,fr,anoemp,7,2,.6669711386190003
France,fr,xnoemp,7,2,.8223474332715738
France,fr,aptjob,7,2,.0096183043351145
France,fr,xptjob,7,2,.0324825694550784
France,fr,aisolt,7,2,.0526368740302121
France,fr,xisolt,7,2,.1396444780936125
France,fr,aunemp,7,2,.0156854680384603
France,fr,xunemp,7,2,.0442543138781397
France,fr,pv5,8,2,.6614048370015836
France,fr,pv6,8,2,.6886561514484031
France,fr,care,8,2,.6579742248556165
France,fr,rent,8,2,.1632208210859349
France,fr,abhlth,8,2,.0630358363938872
France,fr,xbhlth,8,2,.2385926461655374
France,fr,anoemp,8,2,.7487604908389491
France,fr,xnoemp,8,2,.872711512555348
France,fr,aptjob,8,2,.0074247874065273
France,fr,xptjob,8,2,.0222512027280479
France,fr,aisolt,8,2,.0513846425503556
France,fr,xisolt,8,2,.1533608289711773
France,fr,aunemp,8,2,.0124298600984924
France,fr,xunemp,8,2,.0318749588954255
France,fr,pv5,9,2,.6500227123597357
France,fr,pv6,9,2,.6759087655495976
France,fr,care,9,2,.657156435865386
France,fr,rent,9,2,.1605810100049383
France,fr,abhlth,9,2,.0730003951400197
France,fr,xbhlth,9,2,.2310601751340126
