cname; iso2; iso3; year; edhiq0; edhiq1; edhiq2; edhiq3; edhiq4; edhiq5;
Serbia; rs; srb; 2016; 3066276128956.932; 339925726462.1964; 159519400876.4795; 513823688993.3065; 785150106190.3408; 1267857206434.608;
Serbia; rs; srb; 2017; 3181989797337.844; 385806201498.0879; 132732315042.8893; 552913844269.2423; 792159804280.3617; 1318377632247.262;
Serbia; rs; srb; 2018; 3236898483838.195; 416937628509.3451; 119844007677.602; 529567661338.9169; 793093461122.0524; 1377455725190.279;
Serbia; rs; srb; 2019; 3376554250119.625; 387898482617.0845; 116487208411.6177; 614874522156.8645; 881444864342.8224; 1375849172591.236;
Serbia; rs; srb; 2021; 3754668080527.919; 503342900380.0744; 113769519153.328; 567517024522.6859; 936373025077.0742; 1633665611394.757;
Serbia; rs; srb; 2022; 4068666501470.708; 567513119520.3693; 105073213172.8712; 625454284647.72; 1011719449202.31; 1758906434927.438;
Slovakia; sk; svk; 1992; 8287892258.888569; 898708421.773152; 959217187.9728056; 1738978548.222867; 1983405715.153456; 2707582385.766289;
Slovakia; sk; svk; 1996; 13649638421.55445; 1023617077.513246; 1730599146.263891; 2617509399.061547; 3326855256.556438; 4951057542.159326;
Slovakia; sk; svk; 2004; 27141286746.96516; 1889322173.478245; 2427902299.816909; 5152034327.642101; 6847685300.28441; 10824342645.7435;
Slovakia; sk; svk; 2007; 38401511175.69404; 2447601025.793833; 4044275352.808387; 7525091195.522511; 9661633098.674227; 14722910502.89508;
Slovakia; sk; svk; 2010; 45206806218.47443; 3149007720.798863; 5072438675.04148; 8670686259.555267; 11366976263.4823; 16947697299.59652;
Slovakia; sk; svk; 2013; 46737674048.30252; 2964152811.755514; 5133623621.305932; 9170508207.285425; 11498134959.47874; 17971254448.47691;
Slovakia; sk; svk; 2014; 45872559203.70305; 3236376286.23463; 5850427493.153205; 8855722927.313519; 11383645607.52375; 16546386889.47794;
Slovakia; sk; svk; 2015; 46563184346.09695; 3353943372.646268; 5900387291.333277; 9002605566.739126; 11283302209.93552; 17022945905.44276;
Slovakia; sk; svk; 2016; 47270899975.12734; 3276522708.02336; 6090811525.120358; 9451176622.149691; 11597611340.9148; 16854777778.91913;
Slovakia; sk; svk; 2017; 50916399552.14468; 3617058690.237025; 7275650786.786401; 10436630174.99796; 12242757545.20074; 17344302354.92255;
Slovakia; sk; svk; 2018; 53422484002.13449; 3896188792.004989; 7148826942.509201; 10492742820.01184; 13348862620.30165; 18535862827.3068;
South Korea; kr; kor; 2006; 812138249783941.8; 39500992627042.63; 96395728709427.97; 150745031293060.2; 209021829541780.8; 316474667612630.1;
South Korea; kr; kor; 2008; 893178427536071.4; 39789864890567.84; 101963630980249.9; 165232345772068.3; 228426441413025.3; 357766144480160;
South Korea; kr; kor; 2010; 992713132911030.8; 41553278478447.1; 112005406561537.3; 187766099694694.2; 257796801349727.7; 393591546826624.4;
South Korea; kr; kor; 2012; 1130526817313027; 45794869789191.38; 127309250286975.5; 211946774911290.8; 293577139968359.1; 451898782357209.9;
South Korea; kr; kor; 2014; 1200346880533668; 46315317755868.22; 133955899712581; 229711028382045.8; 316347883496357.1; 474016751186815.8;
South Korea; kr; kor; 2016; 1696278902561636; 57622759987856.56; 164707821109143.4; 282223183252301.6; 424173054845950.4; 767552083366384.1;
South Korea; kr; kor; 2017; 1766856345957172; 60335012646557.97; 172601688280854.4; 293324434019561; 438855596772596.5; 801739614237602.1;
South Korea; kr; kor; 2018; 1805664938768044; 62622119889809.33; 178167159457256.6; 298539199165059.9; 447731423297671; 818605036958247.6;
South Korea; kr; kor; 2019; 1848466580128759; 65416432559022.22; 181503478325621.1; 308499315614177.3; 460887911331538.7; 832159442298400;
South Korea; kr; kor; 2020; 1910873703437956; 74947699756798.22; 193455789916987.5; 321872710383047.6; 472299222194756.9; 848298281186366.1;
South Korea; kr; kor; 2021; 2062619623958733; 78600265383091.95; 210253340481067.4; 345925054621474.4; 505619551308717.5; 922221412164381.5;
Spain; es; esp; 1980; 75786757212.85204; 5574773446.576257; 8942085570.860321; 13646003870.18501; 18091051887.79311; 29532842437.43735;
Spain; es; esp; 1985; 136743255677.0484; 10916718651.70993; 17394636012.41555; 24220220031.58471; 31551688029.59931; 52659992951.73894;
Spain; es; esp; 1990; 240620597924.9632; 17300398993.32278; 29015182740.08377; 44182919406.20289; 57502389219.42516; 92619707565.92857;
Spain; es; esp; 1993; 311440208463.0055; 19582780721.8308; 34476771494.39096; 52136333483.26366; 74664748319.12483; 130579574444.3952;
Spain; es; esp; 1994; 328573035796.9241; 21584030286.52202; 36687694386.87875; 54476851408.78116; 76801014367.30818; 139023445347.434;
Spain; es; esp; 1995; 341288698135.4498; 22675610490.33987; 37271927898.40053; 57272445322.87507; 81491607719.74728; 142577106704.087;
Spain; es; esp; 1996; 363839143627.397; 23290407230.45614; 36463792768.7093; 59772908865.65057; 85271405129.51291; 159040629633.0681;
Spain; es; esp; 1997; 389017816685.9937; 23686637768.81763; 40772479989.05896; 63680711857.94984; 92981827722.81366; 167896159347.3536;
Spain; es; esp; 1998; 419007644250.3781; 25400650478.77408; 44422021477.82922; 70664617331.50557; 102795790783.3856; 175724564178.8836;
Spain; es; esp; 1999; 463534362524.1616; 26047840759.01273; 47290727635.73775; 78489867436.69435; 109857221388.8532; 201848705303.8636;
Spain; es; esp; 2000; 520529270655.7227; 27046310284.5299; 52798715100.17367; 84017531625.08463; 124875874433.133; 231790839212.8015;
Spain; es; esp; 2004; 575935662746.8374; 40147021261.37464; 64897109374.19623; 101050827249.1711; 143731745115.6066; 226108959746.4889;
Spain; es; esp; 2005; 616752908863.799; 42941831836.58952; 69461624920.78603; 113383786824.1941; 152126797940.2172; 238838867342.0121;
Spain; es; esp; 2006; 679024473920.8865; 47781984280.56005; 81819163616.59903; 121726828877.7118; 166533774350.2488; 261162722795.7669;
Spain; es; esp; 2007; 842315792993.9893; 55023004484.27731; 102009003075.4046; 147365443394.3707; 205900792262.851; 332017549777.0857;
Spain; es; esp; 2008; 892743571845.0425; 57502031199.64165; 108314809995.7628; 155921502772.8897; 216618408507.5161; 354386819369.2322;
Spain; es; esp; 2009; 887057303241.0785; 60822299074.60875; 104578764093.2037; 156800892306.0339; 212724790960.9218; 352130556806.3104;
Spain; es; esp; 2010; 854492454478.4454; 60744773001.28941; 97143147364.51421; 149004474095.5752; 202346868585.912; 345253191431.1547;
Spain; es; esp; 2011; 845067186351.1194; 61884094661.91213; 96787838411.52991; 149736600332.8198; 198989599427.0573; 337669053517.8002;
Spain; es; esp; 2012; 816231479683.5264; 65274742141.48792; 96878346533.95265; 139752661813.5093; 193425386492.303; 320900342702.2736;
Spain; es; esp; 2013; 799378994057.6019; 65482110575.97819; 88091339364.92155; 132655959382.3414; 191299639486.4581; 321849945247.9027;
Spain; es; esp; 2014; 797376130963.3462; 65387365220.44683; 89613034729.75188; 135656117072.4742; 186518379980.6577; 320201233960.0156;
Spain; es; esp; 2015; 818764904644.3142; 68379175348.31234; 93881658583.20622; 135407240753.1975; 190152988821.8547; 330943841137.7435;
Spain; es; esp; 2016; 846747907551.8018; 65227491141.63615; 96651767327.80283; 143310770453.6926; 200839012661.9228; 340718865966.7474;
Spain; es; esp; 2017; 879681123453.8021; 70028710911.17987; 101436515825.3132; 145833498367.2551; 204217219466.1227; 358165178883.9313;
Spain; es; esp; 2018; 906770478055.5466; 74762456862.83247; 105910321751.513; 156068146417.1378; 207975084455.2; 362054468568.8635;
Spain; es; esp; 2019; 960582687522.6282; 79972548030.61403; 115645211468.1649; 171140990235.3268; 224047552993.7074; 369776384794.8151;
Spain; es; esp; 2020; 969267376105.8263; 81277866248.55153; 110928110791.0668; 168954869550.0343; 227040383703.9822; 381066145812.1914;
Spain; es; esp; 2021; 1024760933332.974; 85001331621.75124; 123541557186.758; 177075422932.9699; 240091732569.3859; 399050889022.1088;
Spain; es; esp; 2022; 1119111919705.534; 93285855574.50772; 141364309652.1532; 192658516324.7352; 263890625330.8996; 427912612823.2386;
Sweden; se; swe; 1975; 218546051542.8571; 16677736115.39239; 28318058080.2038; 49708435969.05177; 53335550265.143; 70506271113.0661;
Sweden; se; swe; 1981; 408515254358.3729; 39687137873.64738; 51802624185.85571; 88364431559.05179; 97574879011.91327; 131086181727.9047;
