cname,iso2,ft,hunm,numt1,numt2,numt3,numt4,numt5,numt6,numt7,numt8,numt9,numt10
Sweden,se,8,1021239,.0507308776885596,.026631567616233,.0511736496100892,.052935080744199,.0640474883337908,.0531099378061372,.0755756544341221,.0642934709700668,.073435232167378,.0855818829327076
Sweden,se,9,1022452,.0168539270930568,.0031638075293335,.0013984493664378,.009717877234373,.0009989804321399,.0032237070673954,.0013426798990446,.0018761523991935,.0022847038296174,.0019692464448244
United Kingdom,uk,1,6595036,.1696356168487936,.1741540218234498,.0685206077881956,.0599926644987668,.0353729375407874,.0225801567663244,.0123781636078625,.0111830673261502,.0089008666394301,.0052208644945658
United Kingdom,uk,2,6596299,.1155268902247084,.2375671569769654,.1718017401404771,.1191363940780459,.0808777408649908,.0600864899776312,.0516451844733986,.0263169705810106,.0320598917128333,.0316397243376253
United Kingdom,uk,3,6598088,.1796287389485061,.0303523233255497,.0442578213567324,.0525902977003552,.0691579980645438,.0596664358783224,.0772669235464939,.0571899270059711,.0564963293499273,.0496466089072729
United Kingdom,uk,4,6595323,.106407910434454,.0558109934070605,.0818133980631965,.1147128048163828,.1155251841732082,.1484985009938739,.2391404757931009,.2106391753827865,.3060543664001896,.2909075603539472
United Kingdom,uk,5,6625828,.0808497482045587,.0997610933039876,.1234533398160194,.1483983422798247,.1681783771024542,.1787629795573163,.1838764478670834,.231093727729543,.2554551147438598,.2019501620855134
United Kingdom,uk,6,6558679,.1663849901653304,.1523874220983615,.0831616674406283,.059616488836104,.0387000688819571,.0155827110916695,.0144356579396346,.0211108011147738,.0055837415155148,.003879142282423
United Kingdom,uk,7,6596859,.1283754933255861,.1793228293623439,.354432829631857,.3509967593702386,.3918382728920823,.3774174647059263,.3103299615771687,.3503099289468178,.263880225051061,.3591425680897432
United Kingdom,uk,8,6595060,.0455339440148621,.0586256020231951,.0624987117480094,.0822775472861602,.0840349311814312,.1328788922281453,.1042377895298353,.0888220880477206,.06793007244726,.0474313237282434
United Kingdom,uk,9,6606323,.0076566678332006,.0120185576790864,.0100598840148843,.0122787011341219,.016314489298545,.0045263688007905,.006689395665422,.0033343138652264,.0036393921399241,.0101820457206659
United States,us,1,31640140,.2374013831797205,.0907530803111766,.0421816579054895,.0258003721921347,.0200261732284938,.0166260504827386,.0153744003192461,.0143631790789624,.0110517238670494,.0121722695465308
United States,us,2,31631301,.2427440586546077,.1375455280830845,.0834249319099872,.0537788660988281,.0406694159681219,.0446060836158318,.0372696280726937,.0342180243277906,.0423410007145247,.047130426974761
United States,us,3,31654422,.1248804524885162,.0631544684172175,.0524108764329988,.0527202814221442,.0697390312694484,.0723583453081439,.0774356317346303,.069031608982672,.0603663817514134,.0553773450983851
United States,us,4,31614854,.0775744039059246,.0726352355851566,.0835923650730378,.1115613565699212,.1344193567104864,.1502590236174386,.1815327105072282,.2063794654617684,.2228746399755678,.2571633173955643
United States,us,5,31641492,.1342460241958474,.154056831238146,.1556374019402408,.156504755644293,.1795455157424309,.1819300354048003,.1987176932359611,.210557744253543,.216338744949716,.2086259657589315
United States,us,6,31628197,.078763968806712,.1400492821967708,.1027132322934217,.0704459365841133,.0530206666613572,.0346841775394279,.0270467560166719,.0173444894027182,.0144675520349127,.0112228009056169
United States,us,7,31639543,.0542737800780907,.210349488944511,.305001241216788,.3329309697270783,.3179234089214251,.3276554778003944,.3166782465852936,.3048583258044048,.3008343623810075,.3002903639571827
United States,us,8,31635754,.0246061806300478,.0965464556769258,.1315672104200797,.1581007143034727,.1552600300896051,.1490179791152812,.1277890138931526,.120419604982388,.1130204617448583,.0937198993211035
United States,us,9,31633617,.0255097164551105,.034909629547011,.0434710512167937,.0381567790887157,.0293963382004869,.0228627954985863,.0181559196351224,.0228275577057528,.0187051325809502,.0142975794256396
